
Trajectories
120
,,Head:RForeHead,,,Head:RTemple,,,Head:LForeHead,,,Head:LTemple,,,Head:REye,,,Head:LEye,,,CalibrationPane:DLabCal1,,,CalibrationPane:DLabCal2,,,CalibrationPane:DLabCal3,,,CalibrationPane:DLabCal4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,-129.689,214.06,1695.93,-221.862,207.211,1643.06,-87.6834,327.911,1704.84,-153.831,402.592,1655.61,-105.795,235.58,1616.51,-75.9109,313.035,1626.1,412.14,225.975,1634.86,324.827,-18.2276,1635.69,317.322,-16.5301,1433.5,405.639,226.766,1434.33
21,0,-129.683,214.018,1695.9,-221.858,207.177,1643.04,-87.6936,327.865,1704.83,-153.836,402.572,1655.65,-105.798,235.548,1616.48,-75.9024,313.007,1626.09,412.181,225.968,1634.86,324.849,-18.2432,1635.69,317.313,-16.5253,1433.51,405.642,226.765,1434.35
22,0,-129.677,213.971,1695.87,-221.856,207.136,1643.02,-87.6869,327.815,1704.83,-153.837,402.534,1655.66,-105.805,235.51,1616.45,-75.9069,312.988,1626.07,411.619,226.197,1635.37,324.886,-18.2635,1635.68,317.331,-16.5456,1433.5,405.649,226.752,1434.34
23,0,-129.677,213.934,1695.85,-221.863,207.106,1643.02,-87.676,327.783,1704.82,-153.853,402.515,1655.67,-105.81,235.474,1616.44,-75.9144,312.962,1626.06,411.631,226.205,1635.37,324.909,-18.2685,1635.68,317.342,-16.5464,1433.49,405.648,226.762,1434.34
24,0,-129.671,213.889,1695.83,-221.864,207.079,1643.01,-87.6777,327.731,1704.82,-153.866,402.484,1655.69,-105.814,235.441,1616.44,-75.9089,312.931,1626.06,411.633,226.198,1635.37,324.929,-18.2699,1635.69,317.347,-16.5327,1433.5,405.644,226.755,1434.35
25,0,-129.676,213.837,1695.81,-221.862,207.042,1642.99,-87.6761,327.676,1704.82,-153.866,402.443,1655.7,-105.812,235.397,1616.41,-75.9276,312.9,1626.06,411.658,226.184,1635.37,324.94,-18.2756,1635.69,317.339,-16.5307,1433.5,405.658,226.754,1434.34
26,0,-129.764,213.894,1695.75,-221.881,207.012,1642.99,-87.6739,327.627,1704.82,-153.889,402.414,1655.71,-105.818,235.363,1616.39,-75.9234,312.885,1626.05,411.668,226.184,1635.36,324.937,-18.2814,1635.69,317.343,-16.5341,1433.51,405.662,226.768,1434.33
27,0,-129.68,213.769,1695.77,-222.203,207.383,1642.87,-87.6699,327.589,1704.82,-153.885,402.387,1655.74,-105.824,235.337,1616.38,-75.911,312.867,1626.04,411.633,226.214,1635.37,324.923,-18.2705,1635.69,317.329,-16.5274,1433.51,405.648,226.772,1434.34
28,0,-129.69,213.728,1695.77,-221.892,206.961,1642.97,-87.6846,327.549,1704.83,-153.879,402.357,1655.74,-105.826,235.31,1616.38,-75.9288,312.835,1626.06,411.608,226.22,1635.4,324.917,-18.2701,1635.69,317.339,-16.529,1433.5,405.659,226.757,1434.34
29,0,-129.702,213.698,1695.75,-221.899,206.941,1642.96,-87.6821,327.507,1704.83,-153.889,402.337,1655.75,-105.836,235.298,1616.36,-75.9356,312.826,1626.06,411.587,226.217,1635.4,324.909,-18.2653,1635.68,317.325,-16.5388,1433.51,405.652,226.746,1434.33
30,0,-129.709,213.679,1695.74,-221.907,206.935,1642.96,-87.6876,327.482,1704.83,-153.888,402.323,1655.76,-105.837,235.274,1616.36,-75.9504,312.783,1626.06,411.568,226.224,1635.4,324.883,-18.2676,1635.68,317.326,-16.5369,1433.5,405.64,226.75,1434.33
31,0,-129.722,213.679,1695.73,-221.91,206.917,1642.96,-87.6931,327.461,1704.83,-153.895,402.305,1655.75,-105.838,235.267,1616.36,-75.9691,312.782,1626.06,412.173,225.947,1634.86,324.871,-18.26,1635.69,317.328,-16.5384,1433.51,405.632,226.758,1434.34
32,0,-129.721,213.667,1695.73,-221.912,206.904,1642.95,-87.6895,327.448,1704.83,-153.892,402.314,1655.75,-105.839,235.259,1616.37,-75.9688,312.769,1626.06,412.171,225.953,1634.86,324.844,-18.2583,1635.68,317.318,-16.5298,1433.51,405.625,226.756,1434.34
33,0,-129.73,213.649,1695.73,-221.918,206.905,1642.95,-87.6922,327.439,1704.83,-153.918,402.289,1655.75,-105.851,235.233,1616.38,-75.9706,312.767,1626.07,412.141,225.948,1634.85,324.827,-18.2593,1635.68,317.31,-16.5381,1433.49,405.615,226.757,1434.33
34,0,-129.728,213.658,1695.74,-221.922,206.885,1642.97,-87.6995,327.437,1704.82,-153.922,402.283,1655.75,-105.848,235.234,1616.37,-75.9873,312.755,1626.07,412.123,225.954,1634.87,324.812,-18.2448,1635.68,317.306,-16.534,1433.5,405.617,226.752,1434.34
