
Trajectories
120
,,Head:RForeHead,,,Head:RTemple,,,Head:LForeHead,,,Head:LTemple,,,Head:REye,,,Head:LEye,,,CalibrationPane:DLabCal1,,,CalibrationPane:DLabCal2,,,CalibrationPane:DLabCal3,,,CalibrationPane:DLabCal4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
922,0,-130.405,214.657,1696.47,-222.201,207.599,1643.09,-88.2086,328.327,1705.16,-153.893,402.993,1655.11,-105.898,235.792,1617.07,-76.1442,313.161,1626.56,410.642,226.501,1635.37,323.767,-17.9103,1636.02,317.296,-16.5702,1433.43,405.408,226.83,1434.29
923,0,-130.406,214.633,1696.45,-222.196,207.584,1643.08,-88.1819,328.307,1705.15,-153.903,402.965,1655.1,-105.903,235.767,1617.05,-76.1277,313.147,1626.54,411.248,226.285,1634.9,323.759,-17.9101,1636.02,317.307,-16.5808,1433.42,405.406,226.824,1434.29
924,0,-130.384,214.601,1696.45,-222.187,207.564,1643.07,-88.1797,328.287,1705.15,-153.892,402.954,1655.11,-105.885,235.755,1617.05,-76.1357,313.138,1626.53,411.247,226.278,1634.9,323.764,-17.9089,1636.01,317.309,-16.5776,1433.43,405.412,226.82,1434.29
925,0,-130.363,214.564,1696.44,-222.18,207.549,1643.07,-88.1661,328.276,1705.14,-153.883,402.932,1655.11,-105.866,235.737,1617.03,-76.1012,313.106,1626.52,411.229,226.292,1634.91,323.772,-17.9219,1636.02,317.312,-16.5891,1433.42,405.406,226.817,1434.29
926,0,-130.352,214.544,1696.42,-222.169,207.53,1643.06,-88.1523,328.251,1705.14,-153.876,402.913,1655.13,-105.854,235.721,1617.03,-76.1014,313.099,1626.54,411.238,226.28,1634.91,323.763,-17.9114,1636.02,317.297,-16.5743,1433.42,405.374,226.823,1434.3
927,0,-130.333,214.527,1696.41,-222.156,207.518,1643.04,-88.1493,328.231,1705.14,-153.864,402.887,1655.13,-105.848,235.697,1617.02,-76.0843,313.08,1626.53,411.247,226.281,1634.9,323.751,-17.908,1636.02,317.307,-16.5715,1433.43,405.411,226.82,1434.28
928,0,-130.343,214.513,1696.39,-222.147,207.503,1643.04,-88.1332,328.215,1705.13,-153.858,402.865,1655.12,-105.843,235.689,1617.01,-76.0589,313.067,1626.52,411.229,226.285,1634.9,323.738,-17.8932,1636.02,317.31,-16.5759,1433.42,405.401,226.823,1434.28
929,0,-130.324,214.488,1696.38,-222.143,207.494,1643.03,-88.1246,328.198,1705.12,-153.836,402.838,1655.13,-105.84,235.687,1616.99,-76.0588,313.064,1626.52,410.614,226.515,1635.38,323.735,-17.8941,1636.02,317.3,-16.5734,1433.43,405.398,226.821,1434.3
930,0,-130.313,214.465,1696.38,-222.129,207.478,1643.02,-88.1141,328.183,1705.12,-153.845,402.837,1655.13,-105.826,235.657,1616.99,-76.0533,313.053,1626.5,411.196,226.299,1634.92,323.72,-17.882,1636.02,317.303,-16.5752,1433.42,405.391,226.823,1434.29
931,0,-130.311,214.458,1696.37,-222.124,207.466,1643.02,-88.1023,328.173,1705.11,-153.828,402.813,1655.12,-105.829,235.655,1616.97,-76.0577,313.043,1626.49,411.173,226.313,1634.91,323.693,-17.8665,1636.01,317.287,-16.5589,1433.43,405.382,226.84,1434.29
932,0,-130.299,214.454,1696.35,-222.106,207.464,1643,-88.0839,328.155,1705.11,-153.824,402.823,1655.13,-105.82,235.643,1616.94,-76.0085,313.017,1626.47,411.147,226.327,1634.91,323.674,-17.8626,1636.04,317.288,-16.5708,1433.41,405.385,226.833,1434.28
933,0,-130.283,214.434,1696.35,-222.107,207.453,1643.01,-88.0733,328.147,1705.1,-153.81,402.788,1655.13,-105.809,235.617,1616.95,-76.0234,313.031,1626.48,411.143,226.328,1634.91,323.65,-17.8589,1636.04,317.29,-16.5665,1433.42,405.381,226.835,1434.28
934,0,-130.282,214.429,1696.33,-222.109,207.451,1643,-88.0629,328.141,1705.08,-153.796,402.785,1655.11,-105.808,235.619,1616.91,-76.0061,312.998,1626.45,411.125,226.336,1634.92,323.639,-17.8505,1636.02,317.282,-16.5498,1433.42,405.351,226.841,1434.3
935,0,-130.28,214.418,1696.33,-222.102,207.449,1643,-88.0516,328.127,1705.08,-153.784,402.778,1655.11,-105.799,235.622,1616.9,-75.9893,313.001,1626.44,411.113,226.331,1634.91,323.632,-17.851,1636.03,317.282,-16.5586,1433.41,405.351,226.846,1434.29
936,0,-130.275,214.412,1696.32,-222.105,207.445,1643,-88.0539,328.131,1705.08,-153.782,402.779,1655.11,-105.791,235.614,1616.9,-76,312.997,1626.46,411.108,226.33,1634.91,323.63,-17.8512,1636.03,317.267,-16.5576,1433.42,405.344,226.845,1434.3
937,0,-130.277,214.427,1696.31,-222.093,207.451,1643,-88.0483,328.14,1705.07,-153.79,402.785,1655.11,-105.789,235.619,1616.9,-75.9963,313.015,1626.45,411.098,226.346,1634.9,323.608,-17.8386,1636.03,317.278,-16.5727,1433.42,405.341,226.847,1434.29
938,0,-130.275,214.433,1696.32,-222.094,207.465,1642.99,-88.0549,328.139,1705.07,-153.772,402.784,1655.1,-105.796,235.627,1616.91,-75.9943,313.004,1626.45,411.097,226.334,1634.92,323.608,-17.8376,1636.03,317.262,-16.5494,1433.42,405.345,226.843,1434.3
939,0,-130.268,214.436,1696.33,-222.097,207.458,1643.01,-88.0419,328.147,1705.08,-153.772,402.795,1655.1,-105.791,235.634,1616.91,-75.9901,313.018,1626.46,411.078,226.341,1634.92,323.593,-17.8386,1636.03,317.278,-16.57,1433.41,405.346,226.831,1434.3
940,0,-130.266,214.443,1696.33,-222.099,207.468,1643.01,-88.0443,328.159,1705.06,-153.789,402.817,1655.11,-105.793,235.629,1616.91,-75.9923,313.023,1626.44,411.085,226.34,1634.92,323.57,-17.8389,1636.03,317.26,-16.5636,1433.4,405.331,226.839,1434.29
941,0,-130.263,214.458,1696.35,-222.099,207.478,1643.01,-88.0475,328.184,1705.06,-153.796,402.829,1655.1,-105.795,235.643,1616.9,-75.9935,313.033,1626.43,411.053,226.338,1634.93,323.57,-17.8348,1636.02,317.253,-16.5603,1433.41,405.339,226.849,1434.28
942,0,-130.264,214.482,1696.35,-222.098,207.488,1643.04,-88.0476,328.195,1705.06,-153.804,402.837,1655.09,-105.798,235.652,1616.92,-75.9972,313.037,1626.43,411.059,226.344,1634.94,323.561,-17.8322,1636.04,317.262,-16.5632,1433.42,405.333,226.842,1434.31
943,0,-130.262,214.496,1696.35,-222.103,207.494,1643.04,-88.0561,328.203,1705.04,-153.818,402.85,1655.08,-105.82,235.67,1616.94,-76.0168,313.048,1626.44,411.046,226.335,1634.93,323.565,-17.8296,1636.04,317.27,-16.5575,1433.41,405.33,226.83,1434.31
944,0,-130.283,214.51,1696.35,-222.128,207.503,1643.05,-88.0645,328.222,1705.05,-153.829,402.87,1655.08,-105.837,235.683,1616.93,-76.0087,313.055,1626.44,411.051,226.332,1634.93,323.578,-17.834,1636.03,317.265,-16.565,1433.41,405.331,226.831,1434.29
945,0,-130.277,214.515,1696.37,-222.125,207.512,1643.05,-88.076,328.227,1705.05,-153.819,402.877,1655.09,-105.83,235.688,1616.96,-76.0288,313.08,1626.46,411.061,226.336,1634.94,323.582,-17.8329,1636.04,317.257,-16.5531,1433.42,405.323,226.832,1434.31
946,0,-130.294,214.525,1696.38,-222.142,207.521,1643.06,-88.0908,328.238,1705.07,-153.849,402.889,1655.1,-105.856,235.704,1616.97,-76.0526,313.087,1626.45,411.066,226.334,1634.93,323.586,-17.8374,1636.03,317.26,-16.554,1433.42,405.323,226.852,1434.31
947,0,-130.33,214.541,1696.39,-222.163,207.517,1643.06,-88.1148,328.246,1705.07,-153.867,402.898,1655.08,-105.86,235.711,1616.99,-76.0732,313.085,1626.47,411.095,226.321,1634.92,323.606,-17.8457,1636.03,317.266,-16.5556,1433.41,405.324,226.841,1434.3
948,0,-130.336,214.531,1696.41,-222.175,207.519,1643.06,-88.1331,328.247,1705.09,-153.881,402.903,1655.1,-105.877,235.708,1616.99,-76.0877,313.081,1626.49,411.078,226.315,1634.93,323.602,-17.8562,1636.05,317.282,-16.5706,1433.41,405.332,226.833,1434.31
949,0,-130.37,214.553,1696.4,-222.198,207.531,1643.07,-88.1619,328.244,1705.1,-153.912,402.907,1655.09,-105.893,235.713,1617.01,-76.1016,313.102,1626.51,411.092,226.336,1634.93,323.599,-17.8372,1636.04,317.265,-16.5514,1433.42,405.354,226.854,1434.29
950,0,-130.401,214.558,1696.4,-222.222,207.542,1643.07,-88.1884,328.251,1705.12,-153.945,402.905,1655.1,-105.905,235.708,1617.02,-76.107,313.091,1626.52,411.082,226.34,1634.93,323.606,-17.8386,1636.04,317.253,-16.5317,1433.43,405.337,226.851,1434.3
951,0,-130.414,214.547,1696.41,-222.237,207.532,1643.06,-88.2126,328.246,1705.13,-153.955,402.905,1655.11,-105.938,235.717,1617.02,-76.1361,313.104,1626.53,411.095,226.32,1634.93,323.617,-17.8508,1636.04,317.277,-16.5679,1433.42,405.348,226.842,1434.3
952,0,-130.444,214.549,1696.41,-222.266,207.534,1643.06,-88.2446,328.249,1705.13,-153.967,402.918,1655.11,-105.956,235.728,1617.03,-76.188,313.117,1626.53,411.105,226.333,1634.92,323.616,-17.8404,1636.03,317.269,-16.5497,1433.42,405.355,226.844,1434.29
953,0,-130.49,214.569,1696.41,-222.281,207.544,1643.05,-88.2692,328.246,1705.15,-153.983,402.914,1655.12,-105.964,235.735,1617.04,-76.1921,313.105,1626.55,411.089,226.343,1634.93,323.612,-17.8435,1636.03,317.248,-16.5242,1433.43,405.34,226.857,1434.3
954,0,-130.515,214.564,1696.41,-222.308,207.54,1643.06,-88.3012,328.241,1705.15,-153.998,402.915,1655.13,-105.986,235.735,1617.04,-76.222,313.122,1626.55,411.09,226.341,1634.93,323.604,-17.8431,1636.04,317.265,-16.539,1433.43,405.343,226.854,1434.3
955,0,-130.541,214.561,1696.42,-222.336,207.551,1643.06,-88.3148,328.241,1705.16,-154.017,402.92,1655.13,-106.013,235.745,1617.04,-76.265,313.123,1626.55,411.083,226.335,1634.92,323.606,-17.8394,1636.04,317.255,-16.5416,1433.42,405.344,226.851,1434.3
956,0,-130.569,214.582,1696.41,-222.355,207.557,1643.07,-88.3344,328.237,1705.17,-154.009,402.912,1655.11,-106.041,235.752,1617.04,-76.283,313.118,1626.55,411.07,226.343,1634.92,323.592,-17.8327,1636.03,317.256,-16.5387,1433.42,405.327,226.846,1434.31
957,0,-130.599,214.577,1696.42,-222.386,207.566,1643.06,-88.357,328.242,1705.16,-154.035,402.919,1655.11,-106.059,235.732,1617.05,-76.2961,313.117,1626.56,411.054,226.346,1634.93,323.568,-17.823,1636.03,317.265,-16.5549,1433.41,405.321,226.853,1434.3
958,0,-130.618,214.565,1696.44,-222.405,207.571,1643.07,-88.3698,328.24,1705.17,-154.051,402.924,1655.12,-106.083,235.737,1617.06,-76.3033,313.11,1626.56,411.026,226.344,1634.93,323.558,-17.8248,1636.04,317.265,-16.5431,1433.41,405.338,226.847,1434.3
959,0,-130.639,214.567,1696.44,-222.431,207.574,1643.07,-88.3836,328.238,1705.17,-154.056,402.933,1655.11,-106.092,235.74,1617.05,-76.3171,313.126,1626.57,410.428,226.574,1635.41,323.547,-17.813,1636.04,317.251,-16.5457,1433.42,405.31,226.855,1434.31
960,0,-130.658,214.578,1696.42,-222.446,207.582,1643.06,-88.3998,328.241,1705.17,-154.061,402.935,1655.11,-106.12,235.747,1617.05,-76.3254,313.123,1626.56,411.028,226.35,1634.93,323.544,-17.8289,1636.04,317.255,-16.5538,1433.41,405.319,226.848,1434.3
961,0,-130.683,214.577,1696.43,-222.462,207.581,1643.07,-88.4109,328.231,1705.17,-154.071,402.934,1655.11,-106.133,235.749,1617.05,-76.3553,313.123,1626.57,411.004,226.336,1634.92,323.553,-17.8234,1636.03,317.265,-16.556,1433.4,405.314,226.838,1434.29
962,0,-130.686,214.604,1696.43,-222.476,207.6,1643.08,-88.4172,328.239,1705.18,-154.072,402.938,1655.12,-106.146,235.759,1617.06,-76.356,313.13,1626.58,411.03,226.341,1634.93,323.537,-17.8207,1636.03,317.252,-16.5569,1433.42,405.316,226.844,1434.3
963,0,-130.711,214.609,1696.44,-222.475,207.606,1643.07,-88.426,328.245,1705.19,-154.08,402.952,1655.13,-106.146,235.757,1617.06,-76.3641,313.14,1626.59,411.015,226.35,1634.93,323.537,-17.8192,1636.04,317.253,-16.5565,1433.42,405.306,226.852,1434.3
964,0,-130.71,214.593,1696.45,-222.504,207.603,1643.08,-88.4358,328.249,1705.2,-154.078,402.949,1655.12,-106.166,235.761,1617.08,-76.3693,313.135,1626.59,411.016,226.336,1634.93,323.54,-17.8286,1636.03,317.251,-16.551,1433.41,405.313,226.834,1434.3
965,0,-130.712,214.614,1696.44,-222.496,207.61,1643.08,-88.4388,328.258,1705.2,-154.089,402.961,1655.11,-106.157,235.776,1617.06,-76.3847,313.149,1626.59,411.022,226.345,1634.93,323.543,-17.8229,1636.03,317.25,-16.5506,1433.42,405.301,226.845,1434.31
966,0,-130.729,214.616,1696.44,-222.498,207.623,1643.07,-88.4536,328.27,1705.2,-154.104,402.967,1655.13,-106.154,235.791,1617.08,-76.3904,313.158,1626.61,410.989,226.353,1634.93,323.52,-17.8136,1636.03,317.224,-16.5363,1433.42,405.309,226.846,1434.3
967,0,-130.725,214.639,1696.44,-222.506,207.621,1643.08,-88.4623,328.28,1705.21,-154.107,402.976,1655.13,-106.167,235.787,1617.09,-76.4045,313.19,1626.6,410.358,226.572,1635.42,323.508,-17.8166,1636.04,317.24,-16.5502,1433.41,405.307,226.844,1434.3
968,0,-130.717,214.645,1696.43,-222.484,207.631,1643.06,-88.4532,328.292,1705.2,-154.105,402.982,1655.13,-106.157,235.815,1617.08,-76.3824,313.19,1626.6,410.367,226.58,1635.41,323.503,-17.8109,1636.03,317.246,-16.5515,1433.41,405.319,226.855,1434.29
969,0,-130.703,214.664,1696.43,-222.476,207.647,1643.06,-88.4575,328.315,1705.2,-154.112,403.005,1655.11,-106.173,235.848,1617.09,-76.364,313.208,1626.6,410.36,226.594,1635.42,323.488,-17.8026,1636.04,317.23,-16.538,1433.42,405.304,226.856,1434.3
970,0,-130.692,214.681,1696.44,-222.464,207.656,1643.05,-88.4484,328.328,1705.2,-154.105,403.008,1655.11,-106.158,235.859,1617.09,-76.3703,313.239,1626.59,410.358,226.582,1635.41,323.506,-17.8024,1636.04,317.232,-16.5288,1433.43,405.293,226.871,1434.3
971,0,-130.688,214.687,1696.43,-222.46,207.662,1643.05,-88.4547,328.338,1705.2,-154.105,403.013,1655.11,-106.16,235.87,1617.08,-76.3981,313.241,1626.58,410.353,226.585,1635.41,323.499,-17.806,1636.03,317.252,-16.5407,1433.42,405.291,226.857,1434.3
972,0,-130.682,214.712,1696.42,-222.458,207.664,1643.06,-88.4435,328.357,1705.19,-154.109,403.044,1655.11,-106.155,235.876,1617.09,-76.3855,313.245,1626.6,410.318,226.593,1635.43,323.513,-17.8081,1636.03,317.238,-16.5373,1433.42,405.296,226.861,1434.3
973,0,-130.679,214.728,1696.44,-222.449,207.679,1643.06,-88.4446,328.366,1705.19,-154.086,403.045,1655.09,-106.148,235.881,1617.1,-76.3758,313.262,1626.6,410.305,226.602,1635.46,323.524,-17.8027,1636.03,317.232,-16.5344,1433.42,405.314,226.86,1434.29
974,0,-130.674,214.73,1696.45,-222.448,207.69,1643.08,-88.4371,328.384,1705.19,-154.085,403.06,1655.1,-106.143,235.885,1617.1,-76.3744,313.268,1626.61,410.985,226.376,1634.92,323.529,-17.8066,1636.04,317.251,-16.5355,1433.42,405.307,226.859,1434.3
975,0,-130.659,214.741,1696.45,-222.428,207.705,1643.07,-88.4158,328.401,1705.19,-154.075,403.069,1655.09,-106.139,235.901,1617.1,-76.3592,313.275,1626.59,411.01,226.365,1634.93,323.538,-17.8076,1636.04,317.242,-16.5301,1433.42,405.312,226.868,1434.3
976,0,-130.651,214.758,1696.47,-222.413,207.709,1643.08,-88.412,328.41,1705.19,-154.073,403.08,1655.08,-106.119,235.898,1617.11,-76.3561,313.283,1626.59,411.023,226.371,1634.92,323.564,-17.8224,1636.04,317.248,-16.5344,1433.42,405.316,226.856,1434.3
977,0,-130.646,214.779,1696.48,-222.398,207.721,1643.09,-88.4004,328.433,1705.2,-154.067,403.089,1655.05,-106.111,235.916,1617.13,-76.3364,313.308,1626.6,411.053,226.35,1634.92,323.593,-17.825,1636.02,317.256,-16.5423,1433.43,405.329,226.857,1434.29
978,0,-130.607,214.766,1696.51,-222.379,207.737,1643.09,-88.3937,328.448,1705.22,-154.047,403.086,1655.04,-106.1,235.919,1617.14,-76.3132,313.304,1626.61,411.069,226.341,1634.93,323.604,-17.8447,1636.03,317.261,-16.5346,1433.42,405.321,226.859,1434.3
979,0,-130.587,214.787,1696.54,-222.36,207.73,1643.1,-88.387,328.467,1705.23,-154.042,403.114,1655.04,-106.075,235.925,1617.17,-76.3012,313.323,1626.64,411.076,226.325,1634.93,323.62,-17.8471,1636.03,317.274,-16.545,1433.41,405.345,226.842,1434.3
980,0,-130.576,214.799,1696.54,-222.347,207.739,1643.1,-88.3732,328.477,1705.23,-154.023,403.109,1655.03,-106.061,235.921,1617.17,-76.299,313.309,1626.63,411.096,226.335,1634.93,323.617,-17.8472,1636.03,317.277,-16.5702,1433.42,405.345,226.842,1434.3
981,0,-130.56,214.799,1696.55,-222.321,207.745,1643.1,-88.3603,328.484,1705.23,-154.001,403.112,1655.05,-106.044,235.913,1617.17,-76.3008,313.327,1626.64,411.097,226.327,1634.93,323.623,-17.8592,1636.02,317.283,-16.5568,1433.41,405.362,226.828,1434.29
982,0,-130.556,214.801,1696.57,-222.321,207.742,1643.11,-88.348,328.479,1705.25,-153.988,403.121,1655.05,-106.028,235.908,1617.18,-76.2907,313.32,1626.63,411.1,226.336,1634.91,323.618,-17.8524,1636.02,317.28,-16.5532,1433.42,405.372,226.823,1434.29
983,0,-130.548,214.809,1696.55,-222.298,207.739,1643.1,-88.3385,328.467,1705.24,-153.969,403.115,1655.07,-106.022,235.917,1617.16,-76.2614,313.315,1626.65,411.089,226.329,1634.93,323.607,-17.8534,1636.04,317.282,-16.5726,1433.41,405.378,226.834,1434.29
984,0,-130.54,214.784,1696.54,-222.291,207.745,1643.09,-88.3227,328.454,1705.24,-153.939,403.113,1655.08,-106.009,235.899,1617.17,-76.2522,313.301,1626.65,411.095,226.33,1634.92,323.624,-17.8568,1636.02,317.286,-16.5708,1433.42,405.369,226.824,1434.29
985,0,-130.534,214.785,1696.54,-222.298,207.742,1643.1,-88.3054,328.439,1705.24,-153.918,403.118,1655.08,-106.01,235.895,1617.17,-76.2382,313.297,1626.64,411.111,226.323,1634.9,323.629,-17.856,1636.02,317.297,-16.5666,1433.42,405.361,226.819,1434.29
986,0,-130.52,214.77,1696.53,-222.282,207.755,1643.09,-88.2811,328.424,1705.23,-153.88,403.121,1655.08,-106.001,235.888,1617.15,-76.2034,313.266,1626.63,411.097,226.333,1634.91,323.629,-17.852,1636.03,317.28,-16.5623,1433.43,405.366,226.835,1434.29
987,0,-130.526,214.765,1696.53,-222.289,207.742,1643.1,-88.2654,328.419,1705.22,-153.853,403.121,1655.09,-105.987,235.873,1617.15,-76.1888,313.249,1626.63,411.126,226.322,1634.92,323.645,-17.8602,1636.02,317.289,-16.5596,1433.43,405.378,226.829,1434.29
988,0,-130.513,214.758,1696.53,-222.285,207.741,1643.11,-88.2476,328.41,1705.21,-153.831,403.127,1655.07,-106.001,235.871,1617.13,-76.1935,313.224,1626.61,411.118,226.32,1634.92,323.662,-17.8618,1636.01,317.305,-16.57,1433.42,405.376,226.831,1434.29
989,0,-130.488,214.761,1696.54,-222.27,207.759,1643.11,-88.2147,328.405,1705.19,-153.801,403.113,1655.06,-105.977,235.862,1617.13,-76.1485,313.215,1626.61,411.132,226.328,1634.92,323.664,-17.8611,1636.03,317.303,-16.5706,1433.42,405.376,226.841,1434.29
990,0,-130.489,214.777,1696.54,-222.25,207.766,1643.13,-88.1943,328.419,1705.18,-153.773,403.122,1655.05,-105.972,235.861,1617.14,-76.1502,313.213,1626.57,411.127,226.333,1634.93,323.676,-17.8476,1636.02,317.3,-16.5549,1433.43,405.374,226.84,1434.3
991,0,-130.474,214.785,1696.55,-222.245,207.764,1643.13,-88.1785,328.427,1705.17,-153.788,403.097,1655.02,-105.966,235.851,1617.14,-76.1549,313.207,1626.57,411.118,226.315,1634.93,323.668,-17.8602,1636.02,317.301,-16.5673,1433.41,405.373,226.831,1434.3
992,0,-130.449,214.797,1696.53,-222.225,207.774,1643.12,-88.1599,328.425,1705.16,-153.75,403.127,1655.03,-105.938,235.861,1617.11,-76.147,313.215,1626.57,411.12,226.315,1634.92,323.661,-17.8616,1636.03,317.284,-16.5609,1433.43,405.36,226.841,1434.3
993,0,-130.439,214.804,1696.54,-222.211,207.775,1643.13,-88.1619,328.445,1705.15,-153.756,403.141,1655.02,-105.942,235.872,1617.12,-76.1336,313.229,1626.57,411.112,226.333,1634.92,323.656,-17.8614,1636.03,317.277,-16.5578,1433.43,405.361,226.841,1434.3
994,0,-130.421,214.802,1696.53,-222.196,207.784,1643.1,-88.1442,328.456,1705.15,-153.782,403.12,1655,-105.944,235.887,1617.1,-76.1058,313.251,1626.55,411.085,226.339,1634.92,323.629,-17.8499,1636.02,317.273,-16.5497,1433.42,405.354,226.843,1434.28
995,0,-130.404,214.82,1696.51,-222.174,207.779,1643.1,-88.1441,328.472,1705.14,-153.786,403.166,1655.03,-105.934,235.898,1617.09,-76.0762,313.269,1626.55,411.069,226.34,1634.93,323.613,-17.8436,1636.03,317.273,-16.5551,1433.42,405.349,226.848,1434.28
996,0,-130.388,214.832,1696.51,-222.174,207.78,1643.11,-88.1313,328.482,1705.13,-153.774,403.166,1655.02,-105.921,235.914,1617.09,-76.0831,313.297,1626.56,411.066,226.339,1634.93,323.59,-17.8308,1636.03,317.268,-16.5563,1433.42,405.315,226.84,1434.3
997,0,-130.378,214.846,1696.5,-222.149,207.792,1643.08,-88.1405,328.498,1705.13,-153.824,403.143,1655.01,-105.933,235.936,1617.09,-76.0776,313.327,1626.55,410.399,226.556,1635.41,323.567,-17.8266,1636.02,317.255,-16.5536,1433.41,405.321,226.848,1434.28
998,0,-130.368,214.847,1696.5,-222.152,207.793,1643.1,-88.1385,328.513,1705.12,-153.855,403.202,1655.02,-105.925,235.946,1617.09,-76.1144,313.339,1626.55,411.018,226.344,1634.93,323.558,-17.8263,1636.02,317.271,-16.5569,1433.4,405.336,226.835,1434.29
999,0,-130.361,214.865,1696.5,-222.162,207.791,1643.1,-88.1524,328.527,1705.11,-153.85,403.214,1655.01,-105.934,235.944,1617.08,-76.1199,313.347,1626.54,410.393,226.567,1635.4,323.545,-17.8258,1636.03,317.256,-16.5537,1433.42,405.327,226.849,1434.3
1000,0,-130.372,214.883,1696.49,-222.166,207.797,1643.1,-88.1621,328.54,1705.11,-153.858,403.193,1655,-105.93,235.948,1617.08,-76.1235,313.36,1626.54,411.015,226.354,1634.92,323.547,-17.8252,1636.03,317.263,-16.553,1433.4,405.321,226.851,1434.3
1001,0,-130.385,214.861,1696.51,-222.177,207.784,1643.1,-88.176,328.541,1705.11,-153.895,403.167,1654.98,-105.961,235.959,1617.07,-76.1311,313.361,1626.55,410.403,226.561,1635.39,323.553,-17.8366,1636.03,317.263,-16.5619,1433.41,405.334,226.832,1434.28
1002,0,-130.405,214.879,1696.5,-222.196,207.793,1643.1,-88.1922,328.538,1705.12,-153.911,403.221,1655.02,-105.964,235.962,1617.08,-76.1892,313.375,1626.53,411.022,226.347,1634.91,323.556,-17.8335,1636.02,317.268,-16.5687,1433.41,405.328,226.842,1434.28
1003,0,-130.434,214.875,1696.51,-222.226,207.788,1643.1,-88.2221,328.546,1705.15,-153.932,403.211,1655.02,-105.994,235.976,1617.09,-76.2048,313.371,1626.57,411.001,226.352,1634.93,323.556,-17.8279,1636.03,317.255,-16.5551,1433.42,405.329,226.846,1434.29
1004,0,-130.454,214.856,1696.52,-222.245,207.79,1643.1,-88.2587,328.53,1705.17,-153.965,403.205,1655.02,-106.001,235.964,1617.1,-76.2211,313.391,1626.59,410.389,226.569,1635.4,323.555,-17.8174,1636.03,317.264,-16.575,1433.41,405.324,226.843,1434.3
1005,0,-130.501,214.845,1696.52,-222.281,207.774,1643.1,-88.3034,328.525,1705.19,-153.97,403.171,1655.04,-106.033,235.958,1617.11,-76.2473,313.374,1626.6,410.388,226.569,1635.4,323.538,-17.8272,1636.02,317.263,-16.5699,1433.41,405.329,226.838,1434.28
1006,0,-130.532,214.844,1696.52,-222.311,207.767,1643.1,-88.3239,328.513,1705.2,-153.984,403.158,1655.04,-106.054,235.97,1617.12,-76.2855,313.378,1626.61,410.987,226.359,1634.92,323.53,-17.812,1636.03,317.259,-16.5507,1433.41,405.325,226.844,1434.28
1007,0,-130.558,214.819,1696.54,-222.337,207.762,1643.11,-88.3614,328.507,1705.23,-154.009,403.16,1655.05,-106.065,235.959,1617.13,-76.3189,313.374,1626.62,410.371,226.575,1635.41,323.523,-17.8157,1636.03,317.255,-16.5515,1433.41,405.33,226.86,1434.28
1008,0,-130.594,214.816,1696.54,-222.362,207.76,1643.09,-88.3954,328.496,1705.24,-154.038,403.153,1655.05,-106.092,235.965,1617.14,-76.3518,313.357,1626.63,410.363,226.571,1635.4,323.51,-17.8051,1636.03,317.248,-16.546,1433.41,405.31,226.847,1434.3
1009,0,-130.624,214.81,1696.55,-222.399,207.748,1643.12,-88.4429,328.498,1705.25,-154.06,403.142,1655.06,-106.117,235.96,1617.17,-76.3653,313.355,1626.65,410.356,226.578,1635.4,323.501,-17.8126,1636.03,317.246,-16.5462,1433.41,405.306,226.852,1434.28
1010,0,-130.658,214.806,1696.57,-222.422,207.734,1643.13,-88.4757,328.488,1705.28,-154.092,403.128,1655.07,-106.13,235.955,1617.19,-76.4209,313.357,1626.67,410.339,226.578,1635.41,323.494,-17.8023,1636.03,317.255,-16.5566,1433.41,405.308,226.861,1434.29
1011,0,-130.691,214.807,1696.58,-222.442,207.726,1643.13,-88.5026,328.49,1705.29,-154.112,403.126,1655.07,-106.144,235.957,1617.2,-76.4395,313.364,1626.69,410.333,226.593,1635.41,323.496,-17.8015,1636.03,317.242,-16.5437,1433.41,405.304,226.856,1434.29
1012,0,-130.719,214.807,1696.58,-222.47,207.712,1643.13,-88.5389,328.485,1705.3,-154.124,403.158,1655.1,-106.158,235.947,1617.21,-76.4741,313.363,1626.7,410.318,226.602,1635.43,323.504,-17.7985,1636.01,317.251,-16.5498,1433.42,405.309,226.86,1434.29
1013,0,-130.737,214.786,1696.6,-222.484,207.692,1643.13,-88.5685,328.466,1705.32,-154.132,403.126,1655.1,-106.172,235.934,1617.22,-76.4732,313.339,1626.7,410.294,226.611,1635.45,323.51,-17.81,1636.03,317.248,-16.5351,1433.41,405.321,226.858,1434.28
1014,0,-130.763,214.776,1696.6,-222.509,207.684,1643.12,-88.5922,328.455,1705.34,-154.176,403.072,1655.1,-106.186,235.928,1617.23,-76.4922,313.339,1626.74,410.259,226.624,1635.47,323.513,-17.8034,1636.03,317.253,-16.5417,1433.4,405.3,226.851,1434.3
