Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,-558.624,-177.029,955.151,-544.044,-222.738,895.861,-555.347,-222.707,805.813,-526.718,-160.995,783.732,-315.31,107.487,945.066,-309.427,164.35,964.039,-275.726,102.492,946.44,-270.186,159.272,966.038,-314.516,362.6,1626.66,-418.608,324.679,1621.46,-306.883,482.98,1628.8,-403.555,532.574,1620.25
2,0,,,,,,,,,,,,,-558.614,-177.024,955.167,-544.051,-222.745,895.867,-555.35,-222.705,805.818,-526.714,-160.992,783.728,-315.316,107.522,945.038,-309.414,164.392,964.012,-275.72,102.528,946.415,-270.166,159.284,966.015,-314.548,362.56,1626.66,-418.639,324.484,1621.36,-306.897,482.936,1628.82,-403.556,532.531,1620.26
3,0,,,,,,,,,,,,,-558.632,-177.038,955.17,-544.061,-222.762,895.874,-555.351,-222.705,805.819,-526.683,-161.007,783.763,-315.32,107.545,945.018,-309.422,164.412,964.009,-275.734,102.524,946.385,-270.181,159.326,966.004,-314.581,362.497,1626.68,-418.699,324.536,1621.61,-306.909,482.892,1628.86,-403.571,532.504,1620.28
4,0,,,,,,,,,,,,,-558.628,-177.036,955.168,-544.055,-222.736,895.872,-555.355,-222.712,805.818,-526.714,-160.99,783.721,-315.335,107.556,944.987,-309.434,164.414,963.964,-275.748,102.557,946.362,-270.195,159.338,965.985,-314.596,362.456,1626.69,-418.199,324.694,1621.07,-306.929,482.842,1628.86,-403.582,532.455,1620.28
5,0,,,,,,,,,,,,,-558.624,-177.033,955.166,-544.036,-222.729,895.869,-555.35,-222.704,805.816,-526.706,-160.994,783.725,-315.341,107.574,944.96,-309.437,164.47,963.958,-275.761,102.573,946.341,-270.198,159.343,965.975,-314.624,362.412,1626.69,-418.838,324.522,1621.56,-306.95,482.808,1628.9,-403.587,532.411,1620.29
6,0,,,,,,,,,,,,,-558.621,-177.028,955.163,-544.064,-222.772,895.874,-555.352,-222.718,805.826,-526.706,-160.993,783.716,-315.361,107.607,944.947,-309.444,164.448,963.967,-275.66,102.864,946.232,-270.205,159.343,965.951,-314.655,362.364,1626.7,-418.719,324.396,1621.38,-306.976,482.763,1628.91,-403.604,532.388,1620.29
7,0,,,,,,,,,,,,,-558.63,-177.038,955.171,-544.067,-222.785,895.875,-555.35,-222.723,805.824,-526.728,-160.988,783.683,-315.357,107.613,944.929,-309.455,164.455,963.96,-275.672,102.877,946.197,-270.211,159.359,965.94,-314.702,362.337,1626.67,-418.759,324.479,1621.41,-307.006,482.709,1628.91,-403.618,532.345,1620.3
8,0,,,,,,,,,,,,,-558.621,-177.02,955.191,-544.063,-222.776,895.872,-555.366,-222.736,805.836,-526.706,-160.993,783.72,-315.379,107.638,944.884,-309.456,164.478,963.974,-275.768,102.669,946.24,-270.22,159.375,965.903,-314.738,362.3,1626.65,-418.811,324.412,1621.46,-307.03,482.658,1628.92,-403.624,532.29,1620.29
9,0,,,,,,,,,,,,,-558.621,-177.012,955.172,-544.06,-222.771,895.88,-555.362,-222.737,805.844,-526.602,-160.997,783.754,-315.395,107.654,944.88,-309.51,164.037,964.352,-275.774,102.686,946.211,-270.227,159.389,965.905,-314.751,362.272,1626.65,-418.78,324.378,1621.34,-307.052,482.618,1628.93,-403.639,532.248,1620.31
10,0,,,,,,,,,,,,,-558.614,-177.022,955.184,-544.072,-222.797,895.881,-555.353,-222.738,805.855,-526.682,-160.977,783.723,-315.394,107.664,944.853,-309.476,164.42,964.007,-275.791,102.703,946.187,-270.229,159.38,965.868,-314.785,362.211,1626.64,-418.777,324.361,1621.38,-307.074,482.56,1628.93,-403.667,532.201,1620.31
11,0,,,,,,,,,,,,,-558.629,-177.027,955.166,-544.094,-222.834,895.904,-555.359,-222.755,805.856,-526.721,-160.995,783.684,-315.411,107.68,944.838,-309.484,164.428,964.005,-275.789,102.739,946.158,-270.231,159.375,965.867,-314.802,362.174,1626.62,-418.837,324.321,1621.38,-307.096,482.502,1628.93,-403.68,532.162,1620.3
12,0,,,,,,,,,,,,,-558.614,-177.006,955.177,-544.066,-222.803,895.887,-555.363,-222.752,805.856,-526.703,-160.983,783.721,-315.419,107.722,944.815,-309.483,164.426,964.011,-275.795,102.756,946.115,-270.226,159.385,965.847,-314.836,362.153,1626.61,-418.902,324.331,1621.31,-307.136,482.46,1628.92,-403.694,532.111,1620.31
13,0,,,,,,,,,,,,,-558.616,-177.008,955.175,-544.074,-222.821,895.886,-555.361,-222.753,805.853,-526.703,-160.979,783.707,-315.435,107.706,944.811,-309.521,164.081,964.296,-275.804,102.764,946.096,-270.232,159.381,965.827,-314.869,362.131,1626.57,-418.786,324.235,1621.23,-307.17,482.4,1628.91,-403.719,532.056,1620.3
14,0,,,,,,,,,,,,,-558.615,-177.006,955.184,-544.064,-222.805,895.883,-555.366,-222.77,805.868,-526.712,-160.984,783.7,-315.434,107.721,944.784,-309.543,164.009,964.567,-275.806,102.767,946.082,-270.235,159.376,965.821,-314.898,362.078,1626.57,-418.938,324.216,1621.34,-307.19,482.365,1628.92,-403.736,531.989,1620.31
15,0,,,,,,,,,,,,,-558.612,-176.982,955.189,-544.126,-222.878,895.915,-555.365,-222.768,805.863,-526.696,-160.968,783.716,-315.44,107.732,944.779,-309.549,163.988,964.504,-275.811,102.765,946.064,-270.243,159.388,965.806,-314.938,362.058,1626.55,-418.822,324.18,1621.17,-307.217,482.308,1628.93,-403.771,531.951,1620.32
16,0,,,,,,,,,,,,,-558.619,-176.995,955.181,-544.081,-222.827,895.896,-555.38,-222.765,805.872,-526.717,-160.971,783.703,-315.452,107.735,944.765,-309.555,163.997,964.487,-275.83,102.776,946.047,-270.239,159.393,965.792,-314.937,361.974,1626.57,-418.914,324.148,1621.24,-307.257,482.26,1628.92,-403.782,531.899,1620.32
17,0,,,,,,,,,,,,,-558.614,-176.989,955.194,-544.089,-222.841,895.9,-555.367,-222.771,805.87,-526.679,-160.984,783.738,-315.45,107.739,944.738,-309.564,163.993,964.484,-275.839,102.754,946.048,-270.255,159.378,965.799,-315.014,361.969,1626.54,-418.953,324.12,1621.2,-307.252,482.23,1628.95,-403.817,531.873,1620.32
18,0,,,,,,,,,,,,,-558.619,-177.011,955.193,-544.08,-222.843,895.888,-555.358,-222.759,805.867,-526.67,-160.963,783.723,-315.466,107.723,944.726,-309.527,164.322,963.993,-275.84,102.758,946.023,-270.254,159.378,965.779,-315.061,361.943,1626.52,-418.88,324.036,1621.16,-307.276,482.167,1628.95,-403.829,531.828,1620.33
19,0,,,,,,,,,,,,,-558.603,-176.986,955.181,-544.076,-222.826,895.886,-555.368,-222.772,805.861,-526.497,-161.026,783.764,-315.475,107.735,944.724,-309.569,163.997,964.477,-275.844,102.759,946.013,-270.26,159.385,965.775,-315.089,361.893,1626.5,-419.081,324.043,1621.22,-307.316,482.121,1628.96,-403.856,531.783,1620.33
20,0,,,,,,,,,,,,,-558.604,-176.978,955.163,-544.09,-222.845,895.893,-555.365,-222.768,805.876,-526.694,-160.981,783.731,-315.46,107.721,944.707,-309.58,164,964.496,-275.851,102.758,946.015,-270.273,159.371,965.771,-315.128,361.864,1626.49,-419.109,323.956,1621.21,-307.35,482.08,1628.96,-403.872,531.745,1620.33
21,0,,,,,,,,,,,,,-558.604,-176.986,955.176,-544.072,-222.823,895.889,-555.368,-222.756,805.864,-526.673,-160.973,783.745,-315.46,107.714,944.711,-309.579,163.942,964.467,-275.849,102.741,946.017,-270.271,159.396,965.758,-315.177,361.833,1626.47,-419.089,323.935,1621.14,-307.379,482.028,1628.96,-403.889,531.702,1620.35
22,0,,,,,,,,,,,,,-558.609,-176.99,955.175,-544.069,-222.827,895.89,-555.362,-222.767,805.869,-526.721,-160.976,783.708,-315.468,107.728,944.719,-309.579,163.978,964.453,-275.846,102.725,946.021,-270.271,159.39,965.775,-315.216,361.777,1626.48,-418.776,323.957,1620.87,-307.413,481.982,1628.95,-403.911,531.68,1620.35
23,0,,,,,,,,,,,,,-558.612,-176.982,955.183,-544.086,-222.851,895.9,-555.374,-222.784,805.88,-526.693,-160.965,783.722,-315.46,107.718,944.705,-309.582,163.973,964.478,-275.858,102.715,946.025,-270.283,159.37,965.78,-315.24,361.718,1626.49,-419.203,323.827,1621.15,-307.451,481.926,1628.96,-403.951,531.642,1620.36
24,0,,,,,,,,,,,,,-558.619,-177.004,955.19,-544.071,-222.817,895.886,-555.362,-222.762,805.867,-526.681,-160.992,783.744,-315.465,107.716,944.682,-309.596,163.929,964.483,-275.859,102.71,946.02,-270.28,159.365,965.751,-315.282,361.661,1626.5,-418.876,323.853,1620.85,-307.494,481.874,1628.97,-403.972,531.595,1620.37
25,0,,,,,,,,,,,,,-558.599,-176.975,955.181,-544.07,-222.812,895.887,-555.366,-222.762,805.859,-526.668,-160.964,783.751,-315.455,107.705,944.681,-309.596,163.897,964.489,-275.855,102.717,946.003,-270.279,159.363,965.76,-315.33,361.611,1626.51,-419.183,323.684,1620.92,-307.524,481.821,1628.99,-403.997,531.541,1620.39
26,0,,,,,,,,,,,,,-558.618,-177,955.193,-544.074,-222.83,895.904,-555.376,-222.784,805.87,-526.725,-160.989,783.714,-315.462,107.687,944.677,-309.601,163.974,964.529,-275.859,102.678,946.022,-270.278,159.353,965.749,-315.368,361.542,1626.53,-419.271,323.655,1621.14,-307.557,481.773,1629.04,-404.02,531.494,1620.42
27,0,,,,,,,,,,,,,-558.615,-177.005,955.181,-544.084,-222.836,895.892,-555.362,-222.766,805.872,-526.689,-160.972,783.725,-315.475,107.681,944.666,-309.612,163.869,964.488,-275.881,102.668,946.002,-270.289,159.329,965.75,-315.433,361.504,1626.53,-419.204,323.653,1620.98,-307.601,481.724,1629.06,-404.034,531.438,1620.44
28,0,,,,,,,,,,,,,-558.617,-176.992,955.187,-544.072,-222.822,895.893,-555.371,-222.769,805.869,-526.689,-160.994,783.745,-315.474,107.671,944.647,-309.631,163.835,964.531,-275.885,102.655,945.985,-270.305,159.343,965.741,-315.45,361.42,1626.57,-419.273,323.467,1620.95,-307.65,481.663,1629.07,-404.071,531.409,1620.47
29,0,,,,,,,,,,,,,-558.611,-176.988,955.182,-544.07,-222.815,895.893,-555.369,-222.761,805.87,-526.651,-160.967,783.758,-315.49,107.653,944.63,-309.649,163.881,964.455,-275.899,102.663,945.966,-270.321,159.321,965.72,-315.495,361.367,1626.57,-419.334,323.453,1620.95,-307.696,481.618,1629.12,-404.084,531.362,1620.51
30,0,,,,,,,,,,,,,-558.608,-176.996,955.168,-544.076,-222.819,895.893,-555.373,-222.774,805.87,-526.683,-160.98,783.721,-315.501,107.667,944.615,-309.647,163.854,964.472,-275.892,102.663,945.936,-270.327,159.318,965.707,-315.554,361.316,1626.56,-419.47,323.286,1621.11,-307.706,481.571,1629.15,-404.102,531.308,1620.55
31,0,,,,,,,,,,,,,-558.612,-176.983,955.162,-544.085,-222.832,895.887,-555.365,-222.771,805.867,-526.693,-160.977,783.73,-315.513,107.663,944.594,-309.667,163.899,964.373,-275.913,102.673,945.924,-270.341,159.325,965.69,-315.59,361.249,1626.58,-419.14,323.469,1620.83,-307.723,481.523,1629.18,-404.12,531.259,1620.57
