Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16,0,-168.896,236.031,1031.75,-173.372,153.826,984.453,-178.644,70.8245,937.272,-181.395,43.111,921.872,,,,,,,,,,,,,-551.988,192.955,820.153,-518.836,242.336,835.792,-539.534,198.01,781.95,-506.705,245.996,797.976,-527.595,370.718,1653.64,-628.519,334.673,1626.91,-519.398,490.645,1661.71,-612.203,542.134,1637.29
17,0,-168.614,235.814,1031.91,-173.298,153.648,984.578,-178.798,70.7876,937.35,-181.512,42.9227,921.904,,,,,,,,,,,,,-552.262,192.741,820.13,-519.061,242.123,835.676,-539.717,198.093,781.804,-506.989,245.796,797.839,-527.539,370.685,1653.58,-628.183,334.591,1627.03,-519.366,490.62,1661.65,-612.161,542.132,1637.29
18,0,-168.413,235.558,1032.12,-173.281,153.438,984.674,-178.978,70.602,937.385,-181.791,42.8288,921.909,,,,,,,,,,,,,-552.465,192.876,819.899,-519.264,241.985,835.528,-540.047,197.632,781.878,-507.222,245.661,797.744,-527.504,370.655,1653.54,-628.179,334.566,1627.02,-519.306,490.615,1661.62,-612.114,542.126,1637.27
19,0,-168.258,235.302,1032.32,-173.364,153.241,984.792,-179.35,70.46,937.467,-182.262,42.7214,921.918,,,,,,,,,,,,,-552.738,192.694,819.902,-519.487,241.883,835.431,-540.279,197.505,781.838,-507.499,245.6,797.592,-527.462,370.61,1653.5,-628.173,334.567,1627.03,-519.237,490.601,1661.57,-612.056,542.124,1637.26
20,0,-168.136,235.077,1032.52,-173.557,153.066,984.927,-179.845,70.3427,937.526,-182.868,42.6587,921.957,,,,,,,,,,,,,-553.007,192.514,819.882,-519.729,241.804,835.334,-540.481,197.465,781.745,-507.724,245.527,797.517,-527.41,370.586,1653.47,-628.09,334.561,1626.93,-519.207,490.583,1661.52,-612.02,542.105,1637.25
21,0,-168.038,234.904,1032.66,-173.816,152.949,985.027,-180.451,70.28,937.556,-183.618,42.6478,922.002,,,,,,,,,,,,,-553.195,192.483,819.895,-519.924,241.753,835.263,-540.647,197.445,781.726,-507.924,245.477,797.453,-527.375,370.564,1653.42,-628.096,334.547,1626.94,-519.161,490.57,1661.48,-611.978,542.116,1637.22
22,0,-167.944,234.762,1032.8,-174.094,152.84,985.111,-181.097,70.2664,937.608,-184.387,42.6354,921.966,,,,,,,,,,,,,-553.395,192.455,819.828,-520.15,241.781,835.157,-540.882,197.314,781.705,-508.15,245.509,797.338,-527.341,370.539,1653.4,-628.073,334.522,1626.91,-519.118,490.565,1661.45,-611.923,542.089,1637.22
23,0,-167.855,234.641,1032.9,-174.422,152.734,985.152,-181.824,70.2319,937.634,-185.216,42.6603,921.979,,,,,,,,,,,,,-553.526,192.427,819.85,-520.264,241.816,835.075,-541.063,197.302,781.659,-508.31,245.568,797.289,-527.301,370.537,1653.35,-628.058,334.539,1626.92,-519.063,490.56,1661.41,-611.89,542.096,1637.21
24,0,-167.803,234.461,1032.99,-174.772,152.592,985.212,-182.553,70.2032,937.647,-186.081,42.6609,921.985,,,,,,,,,,,,,-553.675,192.402,819.82,-520.413,241.834,835.026,-540.989,198.124,781.27,-508.459,245.55,797.297,-527.272,370.514,1653.33,-628.038,334.586,1626.9,-519.031,490.56,1661.38,-611.851,542.093,1637.19
25,0,-167.778,234.29,1033.08,-175.157,152.418,985.284,-183.261,70.1305,937.668,-186.999,42.6126,921.957,,,,,,,,,,,,,-553.839,192.416,819.833,-520.527,241.887,835.029,-541.505,197.148,781.597,-508.627,245.704,797.205,-527.257,370.513,1653.31,-628.04,334.516,1626.92,-518.989,490.552,1661.35,-611.804,542.092,1637.18
