Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-146.298,321.108,1014.48,-158.771,235.761,975.743,-171.299,149.984,936.331,-176.003,120.826,922.985,,,,,,,,,,,,,-564.511,203.006,818.725,-531.563,252.695,832.632,-554.165,209.054,779.074,-521.835,257.367,793.701,-508.521,380.046,1642.84,-610.391,345.193,1619.37,-498.883,499.826,1652.01,-592.337,552.463,1631.02
2,0,-146.331,321.097,1014.53,-158.791,235.76,975.766,-171.462,149.85,936.348,-176.004,120.829,922.983,,,,,,,,,,,,,-564.536,202.836,818.896,-531.559,252.721,832.584,-554.157,209.04,779.07,-521.823,257.374,793.674,-508.509,380.044,1642.84,-610.407,345.186,1619.43,-498.859,499.804,1652.01,-592.319,552.443,1631.03
3,0,-146.355,321.09,1014.54,-158.803,235.755,975.777,-171.458,149.85,936.355,-176.011,120.825,922.987,,,,,,,,,,,,,-564.449,203.005,818.719,-531.54,252.713,832.613,-554.093,209.116,779.087,-521.804,257.36,793.699,-508.514,380.025,1642.84,-610.41,345.21,1619.43,-498.863,499.791,1652.01,-592.32,552.438,1631.02
4,0,-146.382,321.076,1014.55,-158.823,235.745,975.789,-171.457,149.868,936.352,-176.018,120.818,922.987,,,,,,,,,,,,,-564.425,203.027,818.779,-531.515,252.695,832.602,-554.092,209.072,779.082,-521.79,257.358,793.692,-508.497,379.997,1642.84,-610.38,345.229,1619.41,-498.841,499.766,1652,-592.308,552.419,1631.03
5,0,-146.413,321.076,1014.58,-158.83,235.74,975.808,-171.452,149.867,936.354,-176.01,120.826,922.993,,,,,,,,,,,,,-564.395,203.065,818.815,-531.49,252.696,832.602,-554.058,209.087,779.1,-521.76,257.36,793.694,-508.509,379.968,1642.84,-610.386,345.154,1619.42,-498.829,499.748,1651.98,-592.282,552.41,1631.01
6,0,-146.448,321.063,1014.6,-158.863,235.72,975.818,-171.484,149.852,936.354,-176.015,120.836,923.001,,,,,,,,,,,,,-564.127,204.01,818.27,-531.47,252.686,832.6,-554.046,209.107,779.079,-521.754,257.364,793.679,-508.507,379.963,1642.84,-610.404,345.153,1619.42,-498.828,499.734,1651.98,-592.258,552.369,1631.01
7,0,-146.487,321.045,1014.61,-158.877,235.711,975.819,-171.502,149.837,936.349,-176.023,120.834,923.024,,,,,,,,,,,,,-564.115,204.008,818.271,-531.458,252.687,832.584,-554.02,209.095,779.091,-521.738,257.337,793.686,-508.523,379.937,1642.82,-610.4,345.108,1619.4,-498.822,499.694,1651.98,-592.227,552.332,1630.98
8,0,-146.516,321.039,1014.63,-158.899,235.698,975.828,-171.51,149.828,936.351,-176.021,120.842,923.032,,,,,,,,,,,,,-564.432,202.706,818.853,-531.435,252.648,832.602,-554.02,209.119,779.102,-521.718,257.327,793.682,-508.521,379.921,1642.83,-610.389,345.105,1619.39,-498.813,499.665,1651.97,-592.194,552.315,1630.97
9,0,-146.551,321.021,1014.64,-158.911,235.684,975.838,-171.604,149.716,936.274,-176.035,120.872,923.046,,,,,,,,,,,,,-564.443,202.732,818.82,-531.427,252.651,832.584,-554.003,209.146,779.094,-521.718,257.343,793.67,-508.53,379.893,1642.82,-610.421,345.095,1619.41,-498.797,499.637,1651.95,-592.171,552.28,1630.97
10,0,-146.577,321.012,1014.64,-158.926,235.676,975.835,-171.51,149.817,936.347,-176.02,120.845,923.057,,,,,,,,,,,,,-564.467,202.621,818.937,-531.409,252.632,832.605,-553.988,209.124,779.107,-521.687,257.323,793.674,-508.525,379.875,1642.81,-610.544,345.098,1619.25,-498.79,499.593,1651.95,-592.152,552.261,1630.95
11,0,-146.626,321.007,1014.66,-158.955,235.654,975.846,-171.515,149.812,936.342,-176.025,120.844,923.076,,,,,,,,,,,,,-564.367,202.979,818.65,-531.422,252.606,832.596,-553.96,209.191,779.096,-521.691,257.302,793.662,-508.533,379.832,1642.82,-610.439,345.019,1619.43,-498.777,499.566,1651.94,-592.138,552.219,1630.97
12,0,-146.649,320.987,1014.66,-158.969,235.639,975.853,-171.545,149.782,936.356,-176.028,120.844,923.094,,,,,,,,,,,,,-564.357,203.001,818.638,-531.392,252.575,832.592,-553.959,209.186,779.102,-521.691,257.3,793.655,-508.538,379.821,1642.81,-610.404,345.004,1619.38,-498.758,499.536,1651.94,-592.096,552.197,1630.84
13,0,-146.689,320.972,1014.68,-158.993,235.634,975.858,-171.544,149.753,936.339,-176.021,120.851,923.095,,,,,,,,,,,,,-564.427,202.766,818.82,-531.396,252.541,832.615,-553.944,209.234,779.084,-521.693,257.273,793.644,-508.513,379.788,1642.81,-610.392,345.015,1619.36,-498.752,499.488,1651.95,-592.086,552.17,1630.93
14,0,-146.723,320.95,1014.69,-159.017,235.612,975.877,-171.558,149.746,936.341,-176.023,120.855,923.105,,,,,,,,,,,,,-564.373,202.956,818.656,-531.398,252.546,832.582,-553.894,209.331,779.072,-521.698,257.281,793.63,-508.514,379.77,1642.81,-610.465,344.883,1619.47,-498.732,499.449,1651.95,-592.08,552.135,1630.94
15,0,-146.763,320.947,1014.72,-159.034,235.601,975.89,-171.545,149.748,936.348,-176.015,120.857,923.116,,,,,,,,,,,,,-564.113,203.898,818.222,-531.388,252.521,832.589,-553.925,209.254,779.06,-521.692,257.247,793.606,-508.509,379.741,1642.8,-610.42,344.898,1619.4,-498.71,499.417,1651.94,-592.03,552.097,1630.84
16,0,-146.812,320.948,1014.74,-159.071,235.603,975.904,-171.587,149.738,936.352,-176.032,120.859,923.099,,,,,,,,,,,,,-564.426,202.789,818.753,-531.434,252.51,832.531,-553.901,209.358,779.042,-521.696,257.238,793.637,-508.509,379.689,1642.8,-610.424,344.849,1619.4,-498.707,499.37,1651.93,-591.992,552.051,1630.82
17,0,-146.867,320.938,1014.76,-159.099,235.594,975.911,-171.587,149.733,936.361,-176.026,120.854,923.106,,,,,,,,,,,,,-564.439,202.809,818.709,-531.425,252.452,832.587,-553.957,209.266,779.037,-521.699,257.197,793.629,-508.506,379.672,1642.79,-610.421,344.861,1619.42,-498.692,499.335,1651.92,-591.994,552.028,1630.93
18,0,-146.911,320.939,1014.81,-159.135,235.593,975.932,-171.581,149.744,936.366,-176.024,120.86,923.11,,,,,,,,,,,,,-564.443,202.819,818.745,-531.425,252.444,832.539,-553.936,209.318,779.041,-521.719,257.208,793.582,-508.485,379.629,1642.8,-610.428,344.8,1619.44,-498.666,499.306,1651.91,-591.972,551.998,1630.93
19,0,-146.955,320.933,1014.81,-159.158,235.596,975.952,-171.684,149.674,936.331,-176.047,120.884,923.112,,,,,,,,,,,,,-564.479,202.734,818.748,-531.437,252.428,832.531,-553.943,209.312,779.017,-521.729,257.175,793.552,-508.51,379.616,1642.77,-610.403,344.778,1619.42,-498.631,499.27,1651.91,-591.942,551.951,1630.83
20,0,-147.015,320.93,1014.83,-159.206,235.597,975.96,-171.611,149.777,936.386,-176.034,120.858,923.113,,,,,,,,,,,,,-564.522,202.66,818.767,-531.48,252.391,832.543,-553.733,209.872,779.03,-521.751,257.131,793.565,-508.491,379.575,1642.77,-610.546,344.82,1619.29,-498.612,499.228,1651.91,-591.926,551.92,1630.91
21,0,-147.067,320.939,1014.82,-159.241,235.606,975.96,-171.7,149.685,936.328,-176.049,120.882,923.097,,,,,,,,,,,,,-564.568,202.578,818.8,-531.501,252.36,832.495,-553.889,209.474,778.95,-521.763,257.096,793.555,-508.479,379.554,1642.75,-610.384,344.713,1619.4,-498.587,499.182,1651.9,-591.884,551.876,1630.8
22,0,-147.126,320.935,1014.83,-159.283,235.599,975.976,-171.653,149.748,936.397,-176.043,120.855,923.099,,,,,,,,,,,,,-564.57,202.701,818.684,-531.52,252.329,832.539,-553.889,209.449,778.94,-521.785,257.078,793.538,-508.481,379.512,1642.76,-610.397,344.651,1619.43,-498.573,499.153,1651.9,-591.857,551.85,1630.89
23,0,-147.197,320.933,1014.87,-159.316,235.607,975.978,-171.638,149.758,936.398,-176.038,120.864,923.099,,,,,,,,,,,,,-564.616,202.607,818.726,-531.522,252.304,832.51,-553.934,209.407,778.932,-521.798,257.065,793.533,-508.469,379.484,1642.74,-610.508,344.729,1619.26,-498.569,499.101,1651.9,-591.853,551.817,1630.9
24,0,-147.24,320.933,1014.86,-159.332,235.606,975.976,-171.726,149.664,936.341,-176.052,120.882,923.105,,,,,,,,,,,,,-564.632,202.511,818.768,-531.551,252.298,832.478,-553.959,209.375,778.921,-521.81,257.022,793.507,-508.457,379.451,1642.73,-610.528,344.7,1619.26,-498.559,499.051,1651.9,-591.808,551.769,1630.9
25,0,-147.291,320.94,1014.85,-159.359,235.598,975.988,-171.732,149.661,936.345,-176.045,120.878,923.105,,,,,,,,,,,,,-564.667,202.533,818.744,-531.567,252.252,832.474,-553.997,209.324,778.891,-521.825,257.017,793.507,-508.451,379.423,1642.73,-610.352,344.59,1619.36,-498.541,498.998,1651.91,-591.794,551.727,1630.9
26,0,-147.342,320.942,1014.83,-159.4,235.613,975.973,-171.712,149.676,936.315,-176.057,120.885,923.097,,,,,,,,,,,,,-564.743,202.286,818.809,-531.579,252.254,832.424,-554.016,209.32,778.891,-521.839,257,793.493,-508.457,379.392,1642.72,-610.413,344.539,1619.45,-498.535,498.969,1651.9,-591.792,551.703,1630.92
27,0,-147.391,320.942,1014.83,-159.414,235.613,975.963,-171.689,149.718,936.389,-176.03,120.851,923.108,,,,,,,,,,,,,-564.675,202.539,818.714,-531.601,252.214,832.45,-554.049,209.238,778.867,-521.836,256.973,793.471,-508.445,379.357,1642.73,-610.378,344.547,1619.4,-498.49,498.927,1651.9,-591.769,551.656,1630.92
