Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16,0,-274.16,246.057,977.829,-240.946,160.171,953.745,-208.359,73.574,929.565,-198.308,44.799,921.699,,,,,,,,,,,,,-571.385,193.555,816.63,-539.06,244.501,825.693,-562.621,194.169,777.977,-529.856,246.041,787.154,-490.646,380.073,1634.71,-594.295,346.855,1616.41,-478.468,499.848,1642.86,-571.745,553.998,1626.02
17,0,-274.061,246.108,977.838,-240.878,160.215,953.726,-208.323,73.6021,929.55,-198.295,44.7679,921.711,,,,,,,,,,,,,-571.39,193.409,816.55,-538.983,244.52,825.654,-562.541,194.219,777.9,-529.764,246.081,787.077,-490.528,379.911,1634.68,-594.551,346.747,1616.24,-478.313,499.652,1642.87,-571.572,553.827,1626.07
18,0,-273.933,246.173,977.848,-240.791,160.272,953.724,-208.29,73.6272,929.547,-198.268,44.8189,921.696,,,,,,,,,,,,,-571.137,194.257,816.045,-538.932,244.546,825.638,-562.52,194.2,777.85,-529.722,246.057,787.03,-490.431,379.778,1634.62,-594.393,346.532,1616.43,-478.152,499.497,1642.92,-571.417,553.666,1626.12
19,0,-273.781,246.233,977.871,-240.697,160.34,953.713,-208.217,73.6343,929.546,-198.197,45.0213,921.728,,,,,,,,,,,,,-571.119,194.283,815.967,-538.886,244.568,825.572,-562.476,194.202,777.806,-529.654,246.1,786.964,-490.323,379.574,1634.6,-594.332,346.403,1616.38,-477.994,499.335,1642.95,-571.279,553.493,1626.17
20,0,-273.623,246.316,977.886,-240.592,160.389,953.719,-208.169,73.677,929.538,-198.228,44.8714,921.713,,,,,,,,,,,,,-571.062,194.29,815.898,-538.799,244.584,825.512,-562.402,194.269,777.702,-529.587,246.163,786.873,-490.207,379.373,1634.57,-593.853,346.229,1616.2,-477.85,499.173,1642.96,-571.092,553.308,1626.23
21,0,-273.471,246.382,977.902,-240.492,160.445,953.722,-208.138,73.6968,929.528,-198.213,44.874,921.727,,,,,,,,,,,,,-571.048,194.276,815.847,-538.762,244.596,825.479,-562.362,194.294,777.648,-529.537,246.221,786.835,-490.098,379.19,1634.53,-593.8,346.085,1616.23,-477.719,498.96,1642.93,-570.943,553.14,1626.26
22,0,-273.351,246.45,977.909,-240.432,160.471,953.724,-208.123,73.7183,929.528,-198.221,44.8831,921.715,,,,,,,,,,,,,-570.984,194.339,815.747,-538.708,244.603,825.422,-562.299,194.362,777.548,-529.446,246.261,786.805,-489.975,378.99,1634.53,-593.612,346.012,1616.13,-477.566,498.774,1642.95,-570.822,553.017,1626.3
23,0,-273.234,246.489,977.9,-240.368,160.511,953.716,-208.112,73.7313,929.518,-198.221,44.9004,921.708,,,,,,,,,,,,,-570.952,194.353,815.696,-538.643,244.614,825.382,-562.245,194.382,777.477,-529.351,246.248,786.788,-489.878,378.83,1634.52,-593.819,345.939,1616.09,-477.394,498.586,1642.94,-570.663,552.874,1626.35
24,0,-273.114,246.54,977.886,-240.299,160.534,953.699,-208.134,73.765,929.519,-198.219,44.8668,921.711,,,,,,,,,,,,,-570.905,194.369,815.636,-538.585,244.632,825.352,-562.201,194.439,777.398,-529.299,246.273,786.726,-489.792,378.682,1634.5,-593.737,345.703,1616.07,-477.246,498.403,1642.96,-570.51,552.726,1626.36
25,0,-272.988,246.596,977.88,-240.234,160.56,953.679,-208.118,73.7679,929.506,-198.208,44.9095,921.711,,,,,,,,,,,,,-571.013,193.661,815.998,-538.535,244.634,825.293,-562.117,194.514,777.305,-529.242,246.301,786.694,-489.696,378.524,1634.51,-593.672,345.634,1616.15,-477.079,498.205,1642.97,-570.35,552.565,1626.37
26,0,-272.89,246.634,977.844,-240.187,160.584,953.648,-208.081,73.7278,929.522,-198.235,44.8634,921.709,,,,,,,,,,,,,-570.836,194.307,815.583,-538.463,244.611,825.271,-562.051,194.601,777.228,-529.194,246.263,786.668,-489.59,378.373,1634.5,-593.577,345.488,1616.1,-476.952,498.03,1643.01,-570.193,552.418,1626.39
27,0,-272.811,246.674,977.822,-240.141,160.591,953.619,-208.076,73.7308,929.519,-198.247,44.8927,921.708,,,,,,,,,,,,,-570.958,193.549,816.008,-538.415,244.608,825.207,-561.989,194.634,777.119,-529.112,246.21,786.663,-489.464,378.223,1634.5,-593.011,345.33,1616.1,-476.817,497.896,1643.03,-570.021,552.292,1626.42
28,0,-272.733,246.707,977.795,-240.107,160.612,953.606,-208.092,73.7231,929.514,-198.284,44.8499,921.751,,,,,,,,,,,,,-570.723,194.322,815.465,-538.349,244.589,825.18,-561.934,194.708,777.013,-529.029,246.223,786.636,-489.351,378.1,1634.46,-593.339,345.267,1616.03,-476.68,497.742,1643.05,-569.862,552.159,1626.44
29,0,-272.666,246.733,977.768,-240.08,160.62,953.579,-208.106,73.716,929.511,-198.307,44.8174,921.744,,,,,,,,,,,,,-570.681,194.346,815.42,-538.258,244.619,825.068,-561.852,194.799,776.886,-528.962,246.227,786.594,-489.208,377.968,1634.42,-593.143,345.182,1615.99,-476.514,497.6,1643.06,-569.703,552.049,1626.47
30,0,-272.609,246.746,977.753,-240.051,160.616,953.562,-208.118,73.6955,929.513,-198.349,44.7863,921.718,,,,,,,,,,,,,-570.614,194.346,815.358,-538.171,244.668,824.911,-561.765,194.847,776.783,-528.898,246.197,786.596,-489.05,377.821,1634.4,-593.029,345.029,1615.92,-476.389,497.469,1643.08,-569.519,551.921,1626.51
31,0,-272.541,246.76,977.745,-240.034,160.605,953.566,-208.131,73.6785,929.517,-198.388,44.7517,921.724,,,,,,,,,,,,,-570.708,193.601,815.766,-538.068,244.704,824.856,-561.714,194.84,776.726,-528.83,246.185,786.535,-488.884,377.673,1634.39,-592.813,344.94,1615.89,-476.259,497.349,1643.06,-569.378,551.828,1626.53
