Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16,0,-145.51,312.027,1059.13,-178.09,230.293,1023.94,-210.523,148.115,987.783,-221.749,119.815,977.67,,,,,,,,,,,,,-546.682,204.658,816.135,-516.383,253.655,830.27,-538.319,208.817,777.788,-507.621,259.279,791.572,-525.927,361.694,1644.43,-629.38,334.188,1617.74,-508.823,480.323,1656.14,-597.7,539.177,1633.73
17,0,-145.012,312.467,1057.99,-177.571,230.588,1023.2,-209.83,148.198,987.578,-221.315,119.842,977.57,,,,,,,,,,,,,-546.721,204.684,816.095,-516.404,253.714,830.25,-538.398,208.539,777.851,-507.659,259.301,791.554,-525.969,361.746,1644.43,-629.426,334.233,1617.77,-508.864,480.368,1656.14,-597.736,539.204,1633.72
18,0,-144.312,312.856,1056.97,-176.686,230.649,1022.7,-208.863,147.965,987.687,-220.362,119.486,977.995,,,,,,,,,,,,,-546.737,204.701,816.069,-516.431,253.713,830.243,-538.342,208.896,777.704,-507.701,259.36,791.531,-525.987,361.778,1644.43,-629.467,334.275,1617.83,-508.894,480.409,1656.12,-597.754,539.222,1633.71
19,0,-143.476,313.049,1056.17,-175.559,230.526,1022.49,-207.32,147.433,987.926,-218.836,119.345,978.376,,,,,,,,,,,,,-546.797,204.745,816.085,-516.479,253.764,830.215,-538.383,208.76,777.765,-507.747,259.377,791.5,-526.002,361.826,1644.45,-629.45,334.269,1617.77,-508.941,480.46,1656.14,-597.792,539.255,1633.71
20,0,-142.519,313.186,1055.45,-174.075,230.261,1022.17,-205.378,146.968,988.033,-216.665,118.225,978.74,,,,,,,,,,,,,-546.832,204.785,816.075,-516.523,253.813,830.191,-538.349,208.94,777.697,-507.773,259.413,791.495,-526.011,361.869,1644.44,-629.479,334.303,1617.81,-508.969,480.508,1656.13,-597.814,539.277,1633.71
21,0,-141.419,313.259,1054.72,-172.319,229.989,1021.82,-202.983,146.175,988.079,-214.046,117.721,978.82,,,,,,,,,,,,,-546.991,204.668,816.224,-516.539,253.841,830.203,-537.838,210.408,777.616,-507.796,259.447,791.485,-526.031,361.933,1644.44,-629.423,334.361,1617.76,-508.991,480.554,1656.13,-597.843,539.305,1633.7
22,0,-140.303,313.294,1054,-170.51,229.648,1021.29,-200.306,145.511,987.829,-210.999,117.37,978.483,,,,,,,,,,,,,-547.024,204.696,816.172,-516.597,253.917,830.109,-537.855,210.481,777.577,-507.834,259.476,791.458,-526.001,361.949,1644.45,-629.417,334.38,1617.76,-509.015,480.59,1656.14,-597.847,539.343,1633.7
23,0,-139.234,313.323,1053.2,-168.724,229.413,1020.46,-197.917,144.973,987.189,-208.252,116.273,978.017,,,,,,,,,,,,,-547.043,204.752,816.112,-516.632,253.926,830.126,-537.869,210.537,777.524,-507.874,259.498,791.452,-526.026,362.004,1644.43,-629.429,334.395,1617.78,-509.008,480.64,1656.1,-597.863,539.367,1633.69
24,0,-138.17,313.356,1052.27,-167.058,229.219,1019.35,-195.685,144.628,986.19,-205.633,115.506,976.899,,,,,,,,,,,,,-547.072,204.789,816.046,-516.7,253.998,830.06,-537.887,210.595,777.478,-507.899,259.516,791.423,-526.015,362.044,1644.43,-629.406,334.386,1617.78,-509.013,480.676,1656.1,-597.873,539.406,1633.68
25,0,-137.152,313.408,1051.19,-165.606,229.215,1018.05,-193.6,144.495,984.721,-203.421,115.348,975.336,,,,,,,,,,,,,-547.108,204.814,815.987,-516.759,254.074,830.018,-537.935,210.643,777.425,-507.953,259.554,791.377,-525.973,362.053,1644.43,-629.383,334.376,1617.77,-508.999,480.707,1656.08,-597.869,539.435,1633.68
26,0,-136.235,313.457,1049.92,-164.285,229.299,1016.48,-191.96,144.63,982.649,-201.656,115.74,973.253,,,,,,,,,,,,,-547.172,204.875,816.022,-516.811,254.108,829.984,-537.951,210.678,777.405,-507.998,259.569,791.317,-525.951,362.068,1644.43,-629.378,334.367,1617.79,-508.994,480.759,1656.05,-597.865,539.464,1633.69
27,0,-135.413,313.647,1048.44,-163.109,229.652,1014.32,-190.423,145.078,980.077,-200.151,116.285,970.438,,,,,,,,,,,,,-547.207,204.915,815.941,-516.884,254.16,829.952,-538.191,210.372,777.368,-508.044,259.588,791.294,-525.909,362.099,1644.41,-629.34,334.418,1617.78,-508.975,480.784,1656.04,-597.856,539.481,1633.68
28,0,-134.514,313.966,1047.01,-161.852,230.091,1011.99,-188.91,145.793,976.736,-198.512,116.912,966.697,,,,,,,,,,,,,-547.271,204.942,815.929,-516.891,254.232,830.605,-538.272,210.361,777.344,-508.1,259.578,791.281,-525.889,362.119,1644.4,-629.677,334.508,1617.65,-508.957,480.829,1656.01,-597.837,539.509,1633.69
29,0,-133.379,314.25,1045.17,-160.293,230.594,1009.22,-186.93,146.635,972.903,-196.684,117.776,962.759,,,,,,,,,,,,,-547.332,204.959,815.88,-516.99,254.293,830.57,-538.316,210.435,777.31,-508.152,259.591,791.253,-525.853,362.142,1644.4,-629.27,334.41,1617.78,-508.929,480.847,1655.99,-597.81,539.527,1633.67
30,0,-132.121,314.521,1043,-158.434,231.181,1006.24,-184.48,147.545,968.694,-193.796,118.91,958.154,,,,,,,,,,,,,-547.38,205.024,815.825,-517.035,254.319,830.565,-538.351,210.518,777.277,-508.22,259.621,791.202,-525.815,362.155,1644.38,-629.228,334.415,1617.76,-508.901,480.875,1655.97,-597.788,539.539,1633.68
31,0,-130.796,314.854,1041.31,-156.248,231.74,1003.07,-181.465,148.487,964.392,-190.51,119.887,953.318,,,,,,,,,,,,,-547.446,205.045,815.787,-517.124,254.411,830.497,-538.538,209.907,777.52,-508.26,259.626,791.23,-525.751,362.158,1644.38,-629.212,334.398,1617.78,-508.867,480.891,1655.96,-597.762,539.557,1633.68
32,0,-129.412,315.003,1039.12,-153.834,232.492,999.826,-177.873,149.254,959.935,-186.437,120.66,948.427,,,,,,,,,,,,,-547.468,205.099,815.73,-517.178,254.422,830.489,-538.511,210.486,777.279,-508.332,259.615,791.195,-525.701,362.172,1644.39,-629.17,334.417,1617.81,-508.831,480.915,1655.95,-597.721,539.567,1633.69
33,0,-128.109,315.159,1037.29,-151.285,232.833,996.847,-174.075,149.858,955.597,-182.073,121.307,943.676,,,,,,,,,,,,,-547.531,205.148,815.719,-517.238,254.463,830.459,-538.57,210.475,777.249,-508.393,259.649,791.221,-525.649,362.189,1644.38,-629.097,334.393,1617.77,-508.793,480.93,1655.96,-597.674,539.568,1633.7
34,0,-126.916,315.302,1035.88,-148.909,233.254,994.05,-170.672,150.522,951.804,-178.07,121.892,939.412,,,,,,,,,,,,,-547.587,205.238,815.718,-517.339,254.537,830.421,-538.612,210.519,777.203,-508.428,259.672,791.229,-525.599,362.219,1644.4,-629.046,334.421,1617.8,-508.748,480.945,1655.95,-597.649,539.588,1633.72
35,0,-125.836,315.346,1034.24,-146.87,233.576,991.432,-167.646,151.08,948.356,-174.743,122.365,935.707,,,,,,,,,,,,,-547.619,205.295,815.701,-517.399,254.556,830.406,-538.657,210.568,777.202,-508.476,259.703,791.24,-525.554,362.246,1644.42,-628.978,334.427,1617.82,-508.706,480.984,1655.98,-597.618,539.598,1633.77
36,0,-124.939,315.323,1032.81,-145.245,233.894,989.206,-165.258,151.401,945.31,-172.208,122.831,932.473,,,,,,,,,,,,,-547.72,205.351,815.717,-517.469,254.642,830.379,-538.745,210.533,777.186,-508.53,259.75,791.255,-525.5,362.286,1644.44,-628.95,334.44,1617.92,-508.665,481.013,1656.01,-597.573,539.61,1633.81
37,0,-124.177,315.362,1031.46,-144.112,234.139,987.155,-163.754,152.079,942.74,-170.46,123.465,929.343,,,,,,,,,,,,,-547.759,205.42,815.713,-517.498,254.718,830.385,-538.778,210.577,777.172,-508.58,259.803,791.259,-525.467,362.308,1644.49,-628.903,334.456,1617.97,-508.643,481.027,1656.05,-597.552,539.626,1633.87
38,0,-123.611,315.444,1030.18,-143.37,234.535,985.23,-162.683,152.728,939.98,-169.518,124.172,926.553,,,,,,,,,,,,,-547.815,205.514,815.748,-517.547,254.768,830.437,-538.778,210.772,777.184,-508.641,259.863,791.248,-525.402,362.338,1644.54,-628.799,334.515,1617.99,-508.602,481.053,1656.09,-597.528,539.624,1633.94
39,0,-123.232,315.446,1029.06,-143.083,234.909,983.435,-162.435,153.594,937.46,-169.311,125.096,923.924,,,,,,,,,,,,,-547.883,205.586,815.778,-517.602,254.897,830.437,-538.979,210.416,777.254,-508.669,259.949,791.275,-525.359,362.36,1644.57,-628.768,334.493,1618.08,-508.57,481.089,1656.14,-597.522,539.647,1634.03
40,0,-123.004,315.617,1027.97,-143.066,235.377,981.921,-162.761,154.369,935.832,-169.7,125.638,922.85,,,,,,,,,,,,,-547.909,205.644,815.839,-517.64,254.97,830.481,-538.683,211.303,777.21,-508.723,260.029,791.323,-525.315,362.391,1644.63,-628.713,334.579,1618.14,-508.561,481.133,1656.2,-597.532,539.659,1634.12
41,0,-122.688,315.154,1027.87,-143.023,234.75,982.21,-163.029,153.671,936.375,-170.103,124.968,922.819,,,,,,,,,,,,,-547.968,205.728,815.959,-517.643,255.094,830.533,-538.716,211.434,777.286,-508.749,260.142,791.36,-525.286,362.403,1644.7,-628.749,334.745,1618.17,-508.547,481.162,1656.27,-597.542,539.679,1634.2
42,0,-122.449,314.907,1027.58,-143.072,234.424,982.081,-163.4,153.306,936.436,-170.613,124.64,923.201,,,,,,,,,,,,,-547.996,205.774,816.091,-517.673,255.163,830.608,-538.742,211.528,777.376,-508.763,260.247,791.406,-525.277,362.43,1644.76,-628.701,334.689,1618.23,-508.564,481.213,1656.31,-597.572,539.696,1634.29
43,0,-122.212,314.821,1027.16,-143.122,234.399,981.632,-163.74,153.318,936.016,-170.97,124.615,922.957,,,,,,,,,,,,,-547.995,205.849,816.136,-517.664,255.272,830.632,-538.703,211.664,777.436,-508.752,260.345,791.482,-525.279,362.457,1644.84,-628.725,334.79,1618.35,-508.586,481.262,1656.38,-597.627,539.73,1634.38
44,0,-121.969,314.51,1027.05,-142.995,234.053,981.614,-163.684,152.88,935.945,-171.133,124.298,922.99,,,,,,,,,,,,,-548.047,205.888,816.316,-517.657,255.398,830.698,-538.8,211.549,777.45,-508.766,260.48,791.588,-525.305,362.501,1644.93,-628.732,334.823,1618.42,-508.651,481.314,1656.48,-597.704,539.771,1634.48
45,0,-121.748,314.231,1026.75,-142.881,233.773,981.479,-163.64,152.553,935.87,-171.158,124.009,923.017,,,,,,,,,,,,,-547.999,206.018,816.366,-517.637,255.482,830.774,-538.854,211.551,777.469,-508.759,260.6,791.654,-525.356,362.547,1645.02,-628.767,334.799,1618.52,-508.698,481.38,1656.56,-597.787,539.799,1634.57
46,0,-121.571,313.963,1026.57,-142.773,233.512,981.352,-163.699,152.355,935.92,-171.122,123.741,922.802,,,,,,,,,,,,,-547.93,206.138,816.389,-517.616,255.602,830.86,-538.818,211.723,777.507,-508.739,260.737,791.738,-525.486,362.601,1645.13,-628.792,334.894,1618.61,-508.777,481.402,1656.68,-597.875,539.822,1634.67
47,0,-121.434,313.722,1026.48,-142.708,233.306,981.257,-163.697,152.17,935.831,-171.142,123.551,922.761,,,,,,,,,,,,,-547.894,206.237,816.475,-517.583,255.703,830.914,-538.755,211.874,777.58,-508.715,260.872,791.815,-525.598,362.638,1645.29,-628.845,334.839,1618.7,-508.87,481.431,1656.81,-598.003,539.862,1634.77
48,0,-121.305,313.542,1026.46,-142.678,233.129,981.227,-163.635,151.98,935.639,-171.238,123.483,922.926,,,,,,,,,,,,,-547.817,206.365,816.481,-517.556,255.865,830.985,-538.758,211.857,777.721,-508.683,260.994,791.951,-525.668,362.62,1645.47,-628.898,334.931,1618.79,-508.963,481.475,1656.94,-598.131,539.9,1634.88
49,0,-121.202,313.371,1026.64,-142.619,232.995,981.311,-163.647,151.928,935.628,-171.278,123.443,922.931,,,,,,,,,,,,,-547.783,206.472,816.511,-517.512,255.984,831.026,-538.715,211.973,777.777,-508.638,261.146,791.997,-525.797,362.628,1645.65,-629.029,334.941,1618.93,-509.056,481.5,1657.09,-598.245,539.928,1634.98
50,0,-121.102,313.186,1027.05,-142.533,232.938,981.412,-163.627,151.98,935.602,-171.281,123.517,922.912,,,,,,,,,,,,,-547.756,206.535,816.573,-517.534,256.072,830.575,-538.694,212.05,777.797,-508.62,261.283,792.027,-525.92,362.672,1645.79,-629.069,334.866,1619.07,-509.153,481.537,1657.22,-598.343,539.948,1635.05
51,0,-120.975,313.07,1027.55,-142.463,232.917,981.642,-163.633,152.066,935.664,-171.298,123.653,922.96,,,,,,,,,,,,,-547.734,206.621,816.545,-517.519,256.181,830.595,-538.71,212.054,777.799,-508.606,261.392,792.082,-526.035,362.696,1645.93,-629.108,334.882,1619.11,-509.239,481.549,1657.35,-598.426,539.958,1635.08
52,0,-120.792,312.965,1027.99,-142.393,232.953,981.924,-163.615,152.251,935.716,-171.31,123.801,922.82,,,,,,,,,,,,,-547.724,206.713,816.523,-517.531,256.237,830.613,-538.701,212.145,777.77,-508.584,261.42,792.149,-526.116,362.715,1646.06,-629.211,334.952,1619.21,-509.35,481.579,1657.46,-598.525,539.969,1635.13
53,0,-120.586,312.883,1028.49,-142.324,233.054,982.205,-163.645,152.52,935.767,-171.436,124.181,922.946,,,,,,,,,,,,,-547.723,206.733,816.552,-517.529,256.324,830.606,-538.723,212.14,777.786,-508.592,261.477,792.155,-526.206,362.753,1646.17,-629.316,334.889,1619.34,-509.441,481.607,1657.56,-598.587,539.978,1635.18
54,0,-120.3,312.766,1029.08,-142.216,233.121,982.579,-163.685,152.775,935.867,-171.569,124.392,922.986,,,,,,,,,,,,,-547.715,206.803,816.512,-517.503,256.34,830.65,-538.761,212.079,777.763,-508.59,261.519,792.163,-526.279,362.777,1646.29,-629.393,334.847,1619.39,-509.529,481.621,1657.67,-598.662,539.988,1635.22
55,0,-120.058,312.613,1029.69,-142.109,233.203,982.918,-163.748,153.085,935.905,-171.682,124.684,922.957,,,,,,,,,,,,,-547.718,206.845,816.455,-517.535,256.399,830.549,-538.799,212.05,777.727,-508.601,261.581,792.134,-526.332,362.786,1646.41,-629.455,334.902,1619.47,-509.593,481.637,1657.81,-598.729,539.99,1635.3
56,0,-119.869,312.408,1030.41,-142.015,233.215,983.323,-163.909,153.374,936.133,-171.783,124.93,922.974,,,,,,,,,,,,,-547.734,206.853,816.48,-517.544,256.401,830.522,-538.744,212.253,777.728,-508.62,261.625,792.108,-526.372,362.823,1646.52,-629.538,334.867,1619.58,-509.655,481.628,1657.94,-598.783,539.979,1635.38
57,0,-119.617,312.155,1031.06,-141.918,233.151,983.69,-163.948,153.462,936.233,-171.79,125.114,922.805,,,,,,,,,,,,,-547.744,206.886,816.474,-517.564,256.396,830.503,-538.831,212.051,777.684,-508.648,261.582,792.101,-526.41,362.813,1646.64,-629.557,334.864,1619.62,-509.736,481.633,1658.08,-598.844,539.964,1635.47
