Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-269.924,247.925,980.862,-235.587,162.436,955.805,-201,77.0492,931.558,-187.767,49.999,922.282,,,,,,,,,,,,,-522.107,172.222,1024.74,-500.08,207.127,1068.04,-507.792,197.256,997.156,-485.525,231.795,1040.71,-559.268,383.788,1605.27,-666.957,359.372,1598.75,-537.518,501.891,1618.88,-629.109,563.563,1619.03
2,0,-268.563,248.687,981.491,-234.783,163.397,956.276,-200.855,77.4579,931.586,-187.787,50.3489,922.274,,,,,,,,,,,,,-526.087,172.012,1012.82,-502.692,209.582,1053.28,-512.339,195.304,983.437,-488.515,232.691,1024.46,-558.244,384.017,1605.92,-665.906,359.353,1599.24,-536.768,502.205,1619.41,-628.583,563.716,1619.31
3,0,-267.171,249.373,982.073,-233.843,164.081,956.528,-200.471,77.9672,931.624,-187.452,50.8778,922.36,,,,,,,,,,,,,-529.746,172.233,1001.88,-505.619,212.509,1038.9,-516.753,193.274,970.603,-492.183,233.852,1008.48,-557.146,384.302,1606.57,-664.774,359.253,1599.76,-536.015,502.517,1619.88,-627.729,563.591,1619.56
4,0,-265.683,250.179,982.527,-232.682,164.816,956.717,-199.804,78.4649,931.498,-186.876,51.3227,922.399,,,,,,,,,,,,,-533.261,172.761,991.665,-508.835,215.754,1025.21,-521.054,191.577,958.932,-496.43,235.019,992.925,-556.085,384.471,1607.19,-663.659,359.201,1600.28,-535.293,502.786,1620.29,-626.608,563.28,1619.51
5,0,-264.035,251.086,982.817,-231.312,165.684,956.677,-198.902,79.0563,931.152,-186.061,51.6824,922.418,,,,,,,,,,,,,-536.404,173.726,981.898,-512.466,219.119,1012.46,-525.097,190.243,948.18,-500.734,236.261,978.483,-555.044,384.738,1607.74,-662.486,359.179,1600.72,-534.524,503.082,1620.75,-626.028,563.352,1619.75
6,0,-262.057,252.015,982.817,-229.84,166.527,956.66,-197.786,79.8293,930.868,-184.862,52.5548,922.515,,,,,,,,,,,,,-539.125,175.368,973.099,-516.026,223.407,1000.01,-528.678,189.521,938.265,-505.192,238.004,964.976,-553.963,384.97,1608.36,-661.302,359.052,1601.17,-533.698,503.371,1621.21,-625.313,563.396,1619.89
7,0,-260.332,252.809,983.27,-228.106,167.381,956.755,-196.409,80.5294,930.875,-183.63,53.1353,922.589,,,,,,,,,,,,,-541.581,177.154,964.64,-519.601,227.118,988.143,-531.88,189.629,928.495,-509.633,240.172,951.97,-552.823,385.107,1608.93,-660.136,358.954,1601.63,-532.919,503.568,1621.62,-624.544,563.402,1620.12
8,0,-258.324,253.689,983.412,-226.314,168.151,956.867,-194.812,81.4914,930.905,-182.019,53.8528,922.725,,,,,,,,,,,,,-543.973,179.223,956.432,-523.462,232.053,975.848,-535.173,189.224,919.12,-514.451,241.828,938.918,-551.687,385.306,1609.47,-658.971,358.92,1602.09,-532.059,503.772,1622.05,-623.953,563.633,1620.27
9,0,-256.1,254.538,983.299,-224.472,168.893,956.853,-193.183,81.9648,930.871,-180.41,54.6357,922.706,,,,,,,,,,,,,-546.17,181.178,948.391,-527.452,235.631,964.903,-538.231,189.421,910.573,-519.277,243.858,927.184,-550.6,385.427,1609.97,-657.743,358.773,1602.5,-531.234,503.977,1622.42,-622.986,563.363,1620.52
