rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.021	1440786071830	201.31	140.518			221.214	147.201
00:00:00.023	1440786071832			181.407	133.835		
00:00:00.037	1440786071846	201.278	141.172			221.166	147.785
00:00:00.039	1440786071848			181.391	134.56		
00:00:00.054	1440786071863	201.291	140.632			221.168	147.226
00:00:00.056	1440786071865			181.413	134.037		
00:00:00.071	1440786071880	201.357	141.131			221.275	147.692
00:00:00.073	1440786071882			181.439	134.57		
00:00:00.087	1440786071896	201.255	140.643			221.145	147.236
00:00:00.089	1440786071898			181.365	134.05		
00:00:00.104	1440786071913	201.21	141.184			221.099	147.747
00:00:00.106	1440786071915			181.32	134.621		
00:00:00.121	1440786071930	201.213	140.658			221.171	147.241
00:00:00.123	1440786071932			181.255	134.076		
00:00:00.137	1440786071946	201.218	141.129			221.153	147.71
00:00:00.139	1440786071948			181.283	134.549		
00:00:00.154	1440786071963	201.068	140.634			220.992	147.231
00:00:00.156	1440786071965			181.144	134.037		
00:00:00.171	1440786071980	201.083	141.187			221.022	147.751
00:00:00.173	1440786071982			181.144	134.623		
00:00:00.187	1440786071996	200.972	140.711			220.859	147.279
00:00:00.189	1440786071998			181.085	134.142		
00:00:00.204	1440786072013	200.735	141.305			220.669	147.867
00:00:00.206	1440786072015			180.801	134.743		
00:00:00.221	1440786072030	200.119	140.577			219.725	147.131
00:00:00.223	1440786072032			180.513	134.023		
00:00:00.237	1440786072046	200.766	141.225			220.386	147.66
00:00:00.239	1440786072048			181.145	134.791		
00:00:00.254	1440786072063	200.663	140.586			220.349	147.04
00:00:00.256	1440786072065			180.977	134.132		
00:00:00.271	1440786072080	200.772	141.149			220.497	147.696
00:00:00.273	1440786072082			181.048	134.602		
00:00:00.287	1440786072096	200.753	140.552			220.471	147.029
00:00:00.289	1440786072098			181.036	134.074		
00:00:00.304	1440786072113	201.996	139.562			222.903	144.43
00:00:00.306	1440786072115			181.089	134.694		
00:00:00.321	1440786072130	200.804	140.536			220.547	147.021
00:00:00.323	1440786072132			181.062	134.051		
00:00:00.337	1440786072146	200.881	141.112			220.651	147.61
00:00:00.339	1440786072148			181.112	134.615		
00:00:00.354	1440786072163	200.821	140.555			220.581	147.126
00:00:00.356	1440786072165			181.061	133.985		
00:00:00.371	1440786072180	200.873	141.169			220.674	147.723
00:00:00.373	1440786072182			181.072	134.614		
00:00:00.387	1440786072196	200.81	140.536			220.553	147.037
00:00:00.389	1440786072198			181.067	134.036		
00:00:00.404	1440786072213	200.91	141.15			220.689	147.672
00:00:00.406	1440786072215			181.132	134.629		
00:00:00.421	1440786072230	200.845	140.578			220.61	147.149
00:00:00.423	1440786072232			181.079	134.007		
00:00:00.437	1440786072246	200.883	141.307			220.653	147.839
00:00:00.439	1440786072248			181.114	134.774		
00:00:00.454	1440786072263	200.944	140.728			220.771	147.4
00:00:00.456	1440786072265			181.117	134.055		
00:00:00.471	1440786072280	200.915	141.341			220.721	147.897
00:00:00.473	1440786072282			181.108	134.785		
00:00:00.487	1440786072296	200.863	140.711			220.689	147.269
00:00:00.489	1440786072298			181.036	134.153		
00:00:00.504	1440786072313	185.036	128.614			220.615	147.919
00:00:00.506	1440786072315			149.457	109.309		
00:00:00.521	1440786072330	168.059	119.731			186.661	130.153
00:00:00.523	1440786072332			149.457	109.309		
00:00:00.537	1440786072346	168.059	119.731			186.661	130.153
00:00:00.539	1440786072348			149.457	109.309		
00:00:00.554	1440786072363	168.059	119.731			186.661	130.153
00:00:00.556	1440786072365			149.457	109.309		
00:00:00.571	1440786072380	168.059	119.731			186.661	130.153
00:00:00.573	1440786072382			149.457	109.309		
00:00:00.587	1440786072396	168.059	119.731			186.661	130.153
00:00:00.589	1440786072398			149.457	109.309		
00:00:00.604	1440786072413	168.059	119.731			186.661	130.153
