rec_time	UTC	Dikablis Professional_Eye Data_Original_Pupil X	Dikablis Professional_Eye Data_Original_Pupil Y	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:00.704	1440787442050					196.795	132.107
00:00:00.712	1440787442058						
00:00:00.713	1440787442059						
00:00:00.718	1440787442064	175.486	128.573	153.988	124.373		
00:00:00.721	1440787442067					196.983	132.772
00:00:00.735	1440787442081	175.486	128.008	153.982	123.852		
00:00:00.738	1440787442084					196.99	132.163
00:00:00.746	1440787442092						
00:00:00.747	1440787442093						
00:00:00.751	1440787442097	175.476	128.63	153.995	124.482		
00:00:00.754	1440787442100					196.957	132.778
00:00:00.768	1440787442114	175.409	127.972	153.93	123.865		
00:00:00.771	1440787442117					196.888	132.079
00:00:00.779	1440787442125						
00:00:00.780	1440787442126						
00:00:00.785	1440787442131	175.437	128.644	153.899	124.485		
00:00:00.788	1440787442134					196.976	132.803
00:00:00.801	1440787442147	175.477	128.086	153.919	123.964		
00:00:00.804	1440787442150					197.035	132.208
00:00:00.812	1440787442158						
00:00:00.813	1440787442159						
00:00:00.818	1440787442164	175.426	128.724	153.833	124.579		
00:00:00.821	1440787442167					197.02	132.869
00:00:00.835	1440787442181	175.43	128.196	153.832	124.021		
00:00:00.838	1440787442184					197.028	132.37
00:00:00.847	1440787442193						
00:00:00.851	1440787442197	175.495	128.784	153.909	124.65		
00:00:00.854	1440787442200					197.081	132.918
00:00:00.868	1440787442214	175.423	128.215	153.779	124.053		
00:00:00.871	1440787442217					197.067	132.376
00:00:00.880	1440787442226						
00:00:00.885	1440787442231	175.418	128.801	153.74	124.57		
00:00:00.888	1440787442234					197.096	133.033
00:00:00.901	1440787442247	175.389	128.312	153.726	124.149		
00:00:00.904	1440787442250					197.052	132.474
00:00:00.913	1440787442259						
00:00:00.918	1440787442264	175.408	128.9	153.725	124.666		
00:00:00.921	1440787442267					197.091	133.134
00:00:00.935	1440787442281	174.753	128.402	153.052	124.166		
00:00:00.938	1440787442284					196.454	132.638
00:00:00.946	1440787442292						
00:00:00.947	1440787442293						
00:00:00.951	1440787442297	174.787	128.854	153.032	124.687		
00:00:00.954	1440787442300					196.543	133.021
00:00:00.968	1440787442314	174.787	128.231	153.075	124.052		
00:00:00.971	1440787442317					196.499	132.41
00:00:00.980	1440787442326						
00:00:00.985	1440787442331	174.88	128.872	153.019	124.699		
00:00:00.988	1440787442334					196.74	133.044
00:00:01.001	1440787442347	174.881	128.283	153.114	124.159		
00:00:01.004	1440787442350					196.648	132.407
00:00:01.013	1440787442359						
00:00:01.018	1440787442364	174.929	129.065	153.088	124.923		
00:00:01.021	1440787442367					196.769	133.207
00:00:01.035	1440787442381	175.023	128.404	153.254	124.256		
00:00:01.038	1440787442384					196.792	132.553
00:00:01.047	1440787442393						
00:00:01.051	1440787442397	174.961	129.026	153.128	124.907		
00:00:01.054	1440787442400					196.794	133.144
00:00:01.068	1440787442414	175.008	128.47	153.175	124.29		
00:00:01.071	1440787442417					196.841	132.65
00:00:01.080	1440787442426						
00:00:01.085	1440787442431	174.939	129.027	153.027	124.874		
00:00:01.088	1440787442434					196.851	133.179
00:00:01.101	1440787442447	175.041	128.503	153.207	124.28		
00:00:01.104	1440787442450					196.874	132.726
00:00:01.113	1440787442459						
00:00:01.118	1440787442464	175.011	129.001	153.165	124.775		
00:00:01.121	1440787442467					196.857	133.227
00:00:01.135	1440787442481	175.093	128.502	153.232	124.258		
00:00:01.138	1440787442484					196.955	132.747
00:00:01.146	1440787442492						
00:00:01.147	1440787442493						
00:00:01.151	1440787442497	175.179	129.037	153.433	124.837		
00:00:01.154	1440787442500					196.925	133.237
00:00:01.168	1440787442514	175.011	128.573	153.296	124.26		
00:00:01.171	1440787442517					196.726	132.885
00:00:01.180	1440787442526						
00:00:01.185	1440787442531	175.124	129.112	153.304	124.883		
00:00:01.188	1440787442534					196.944	133.342
00:00:01.201	1440787442547	175.067	128.606	153.31	124.349		
00:00:01.204	1440787442550					196.825	132.862
00:00:01.213	1440787442559						
00:00:01.218	1440787442564	175.129	129.139	153.287	124.923		
00:00:01.221	1440787442567					196.972	133.356
00:00:01.235	1440787442581	175.111	128.651	153.366	124.412		
00:00:01.238	1440787442584					196.856	132.889
00:00:01.246	1440787442592						
00:00:01.247	1440787442593						
00:00:01.251	1440787442597	175.162	129.248	153.371	125.104		
00:00:01.254	1440787442600					196.953	133.391
00:00:01.268	1440787442614	175.155	128.67	153.367	124.515		
00:00:01.271	1440787442617					196.943	132.825
00:00:01.280	1440787442626						
00:00:01.285	1440787442631	175.15	129.262	153.337	125.112		
00:00:01.288	1440787442634					196.963	133.413
00:00:01.301	1440787442647	175.203	128.664	153.409	124.518		
00:00:01.304	1440787442650					196.996	132.81
00:00:01.313	1440787442659						
00:00:01.318	1440787442664	175.169	129.239	153.351	125.067		
00:00:01.321	1440787442667					196.987	133.412
00:00:01.335	1440787442681	175.222	128.672	153.408	124.538		
00:00:01.338	1440787442684					197.035	132.806
00:00:01.347	1440787442693						
00:00:01.351	1440787442697	175.19	129.261	153.381	125.095		
00:00:01.354	1440787442700					197	133.428
00:00:01.368	1440787442714	175.235	128.61	153.367	124.44		
00:00:01.371	1440787442717					197.102	132.779
00:00:01.380	1440787442726						
00:00:01.385	1440787442731	175.227	129.228	153.393	125.099		
00:00:01.388	1440787442734					197.06	133.357
00:00:01.401	1440787442747	175.304	128.702	153.483	124.521		
00:00:01.404	1440787442750					197.125	132.883
00:00:01.413	1440787442759						
00:00:01.418	1440787442764	175.265	129.173	153.443	124.986		
00:00:01.421	1440787442767					197.086	133.36
00:00:01.435	1440787442781	175.36	128.628	153.486	124.512		
00:00:01.438	1440787442784					197.235	132.744
00:00:01.447	1440787442793						
00:00:01.451	1440787442797	175.342	129.189	153.555	125.081		
00:00:01.454	1440787442800					197.128	133.297
00:00:01.468	1440787442814	175.431	128.611	153.51	124.406		
00:00:01.471	1440787442817					197.351	132.816
00:00:01.480	1440787442826						
00:00:01.485	1440787442831	175.387	129.205	153.509	125.094		
00:00:01.488	1440787442834					197.265	133.316
00:00:01.501	1440787442847	175.852	128.543	154.032	124.377		
00:00:01.504	1440787442850					197.673	132.709
00:00:01.513	1440787442859						
00:00:01.518	1440787442864	176.231	128.987	154.659	124.849		
00:00:01.521	1440787442867					197.802	133.124
00:00:01.535	1440787442881	176.05	128.497	154.388	124.339		
00:00:01.538	1440787442884					197.712	132.655
00:00:01.547	1440787442893						
00:00:01.551	1440787442897	176.056	129.029	154.396	124.872		
00:00:01.554	1440787442900					197.717	133.186
00:00:01.568	1440787442914	175.998	128.513	154.322	124.318		
00:00:01.571	1440787442917					197.673	132.709
00:00:01.580	1440787442926						
00:00:01.585	1440787442931	176.027	129.133	154.351	124.964		
00:00:01.588	1440787442934					197.704	133.303
00:00:01.601	1440787442947	176.011	128.567	154.28	124.374		
00:00:01.604	1440787442950					197.743	132.759
00:00:01.613	1440787442959						
00:00:01.618	1440787442964	175.999	129.157	154.278	125.024		
00:00:01.621	1440787442967					197.72	133.29
00:00:01.635	1440787442981	176.044	128.675	154.341	124.473		
00:00:01.638	1440787442984					197.746	132.876
00:00:01.647	1440787442993						
00:00:01.651	1440787442997	175.994	129.232	154.228	125.135		
00:00:01.654	1440787443000					197.761	133.329
00:00:01.668	1440787443014	176.069	128.671	154.308	124.426		
00:00:01.671	1440787443017					197.831	132.916
00:00:01.680	1440787443026						
00:00:01.685	1440787443031	176.011	129.341	154.311	125.184		
00:00:01.688	1440787443034					197.712	133.498
00:00:01.701	1440787443047	175.988	128.731	154.256	124.542		
00:00:01.704	1440787443050					197.72	132.919
00:00:01.713	1440787443059						
00:00:01.718	1440787443064	175.996	129.399	154.268	125.202		
00:00:01.721	1440787443067					197.724	133.597
00:00:01.735	1440787443081	175.876	128.852	154.102	124.726		
00:00:01.738	1440787443084					197.65	132.979
00:00:01.747	1440787443093						
00:00:01.751	1440787443097	175.876	129.485	154.151	125.273		
00:00:01.754	1440787443100					197.6	133.697
00:00:01.768	1440787443114	175.83	128.923	154.128	124.733		
00:00:01.771	1440787443117					197.531	133.113
00:00:01.780	1440787443126						
00:00:01.785	1440787443131	175.721	129.553	154.027	125.304		
00:00:01.788	1440787443134					197.415	133.802
00:00:01.801	1440787443147	175.453	128.971	153.819	124.725		
00:00:01.804	1440787443150					197.086	133.218
00:00:01.813	1440787443159						
00:00:01.818	1440787443164	175.763	129.525	154.089	125.303		
00:00:01.821	1440787443167					197.438	133.746
00:00:01.835	1440787443181	175.681	128.937	154.023	124.625		
00:00:01.838	1440787443184					197.34	133.25
00:00:01.846	1440787443192						
00:00:01.847	1440787443193						
00:00:01.851	1440787443197	175.674	129.494	153.977	125.208		
00:00:01.854	1440787443200					197.372	133.781
00:00:01.868	1440787443214	175.653	128.908	153.967	124.627		
00:00:01.871	1440787443217					197.339	133.188
00:00:01.879	1440787443225						
00:00:01.880	1440787443226						
00:00:01.885	1440787443231	175.749	129.413	154.072	125.116		
00:00:01.888	1440787443234					197.425	133.711
00:00:01.901	1440787443247	175.747	128.852	154.068	124.608		
00:00:01.904	1440787443250					197.426	133.096
00:00:01.912	1440787443258						
00:00:01.913	1440787443259						
00:00:01.918	1440787443264	175.772	129.378	154.089	125.121		
00:00:01.921	1440787443267					197.455	133.636
00:00:01.935	1440787443281	175.811	128.731	154.164	124.533		
00:00:01.938	1440787443284					197.457	132.93
00:00:01.946	1440787443292						
00:00:01.947	1440787443293						
00:00:01.951	1440787443297	175.863	129.266	154.139	125.028		
00:00:01.954	1440787443300					197.586	133.504
00:00:01.968	1440787443314	175.886	128.638	154.207	124.386		
00:00:01.971	1440787443317					197.565	132.89
00:00:01.979	1440787443325						
00:00:01.980	1440787443326						
00:00:01.985	1440787443331	175.838	129.247	154.092	125.062		
00:00:01.988	1440787443334					197.585	133.431
00:00:02.001	1440787443347	175.949	128.637	154.231	124.463		
00:00:02.004	1440787443350					197.667	132.811
00:00:02.013	1440787443359						
00:00:02.018	1440787443364	175.996	129.296	154.307	125.16		
00:00:02.021	1440787443367					197.685	133.433
00:00:02.035	1440787443381	176.013	128.696	154.245	124.501		
00:00:02.038	1440787443384					197.782	132.892
00:00:02.046	1440787443392						
00:00:02.047	1440787443393						
00:00:02.051	1440787443397	175.968	129.313	154.21	125.148		
00:00:02.054	1440787443400					197.725	133.478
00:00:02.068	1440787443414	176.092	128.683	154.303	124.427		
00:00:02.071	1440787443417					197.882	132.94
00:00:02.079	1440787443425						
00:00:02.080	1440787443426						
00:00:02.085	1440787443431	187.571	134.871	154.241	125.19		
00:00:02.088	1440787443434					220.901	144.551
00:00:02.101	1440787443447	198.485	141.345	176.07	138.138		
00:00:02.104	1440787443450					220.901	144.551
00:00:02.112	1440787443458						
00:00:02.113	1440787443459						
00:00:02.118	1440787443464	198.485	141.345	176.07	138.138		
00:00:02.121	1440787443467					220.901	144.551
00:00:02.135	1440787443481	198.485	141.345	176.07	138.138		
00:00:02.138	1440787443484					220.901	144.551
00:00:02.147	1440787443493						
00:00:02.151	1440787443497	198.485	141.345	176.07	138.138		
00:00:02.154	1440787443500					220.901	144.551
00:00:02.168	1440787443514	198.485	141.345	176.07	138.138		
00:00:02.171	1440787443517					220.901	144.551
00:00:02.180	1440787443526						
00:00:02.185	1440787443531	198.485	141.345	176.07	138.138		
00:00:02.188	1440787443534					220.901	144.551
00:00:02.201	1440787443547	198.485	141.345	176.07	138.138		
00:00:02.204	1440787443550					220.901	144.551
00:00:02.213	1440787443559						
00:00:02.218	1440787443564	198.485	141.345	176.07	138.138		
00:00:02.221	1440787443567					220.901	144.551
00:00:02.235	1440787443581	198.485	141.345	176.07	138.138		
00:00:02.238	1440787443584					220.901	144.551
00:00:02.246	1440787443592						
00:00:02.247	1440787443593						
00:00:02.251	1440787443597	198.485	141.345	176.07	138.138		
00:00:02.254	1440787443600					220.901	144.551
00:00:02.268	1440787443614	198.485	141.345	176.07	138.138		
00:00:02.271	1440787443617					220.901	144.551
00:00:02.280	1440787443626						
00:00:02.285	1440787443631	198.485	141.345	176.07	138.138		
00:00:02.288	1440787443634					220.901	144.551
00:00:02.301	1440787443647	198.485	141.345	176.07	138.138		
00:00:02.304	1440787443650					220.901	144.551
00:00:02.313	1440787443659						
00:00:02.318	1440787443664	198.485	141.345	176.07	138.138		
00:00:02.321	1440787443667					220.901	144.551
00:00:02.335	1440787443681	198.485	141.345	176.07	138.138		
00:00:02.338	1440787443684					220.901	144.551
00:00:02.347	1440787443693						
00:00:02.351	1440787443697	198.485	141.345	176.07	138.138		
00:00:02.354	1440787443700					220.901	144.551
00:00:02.368	1440787443714	198.485	141.345	176.07	138.138		
00:00:02.371	1440787443717					220.901	144.551
00:00:02.380	1440787443726						
00:00:02.385	1440787443731	198.485	141.345	176.07	138.138		
00:00:02.388	1440787443734					220.901	144.551
00:00:02.401	1440787443747	198.485	141.345	176.07	138.138		
00:00:02.404	1440787443750					220.901	144.551
00:00:02.413	1440787443759						
