rec_time	UTC	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:00.040	1443463168846			204.684	150.255
00:00:00.044	1443463168850				
00:00:00.046	1443463168852	165.855	152.431		
00:00:00.056	1443463168862			204.703	149.67
00:00:00.062	1443463168868	165.858	151.779		
00:00:00.073	1443463168879			204.823	150.331
00:00:00.077	1443463168883				
00:00:00.079	1443463168885	165.853	152.337		
00:00:00.090	1443463168896			204.732	149.64
00:00:00.096	1443463168902	165.912	151.8		
00:00:00.106	1443463168912			204.71	150.259
00:00:00.110	1443463168916				
00:00:00.112	1443463168918	166.046	152.346		
00:00:00.123	1443463168929			204.724	149.659
00:00:00.129	1443463168935	165.73	151.91		
00:00:00.140	1443463168946			204.648	150.406
00:00:00.144	1443463168950				
00:00:00.146	1443463168952	165.902	152.482		
00:00:00.156	1443463168962			204.842	149.755
00:00:00.162	1443463168968	165.981	151.894		
00:00:00.173	1443463168979			204.732	150.32
00:00:00.177	1443463168983				
00:00:00.179	1443463168985	165.974	152.38		
00:00:00.190	1443463168996			204.796	149.732
00:00:00.196	1443463169002	165.824	151.719		
00:00:00.206	1443463169012			204.761	150.375
00:00:00.210	1443463169016				
00:00:00.212	1443463169018	165.906	152.582		
00:00:00.223	1443463169029			204.784	149.82
00:00:00.229	1443463169035	165.943	151.867		
00:00:00.240	1443463169046			204.661	150.429
00:00:00.244	1443463169050				
00:00:00.246	1443463169052	166.016	152.593		
00:00:00.256	1443463169062			204.765	149.828
00:00:00.262	1443463169068	165.938	151.905		
00:00:00.273	1443463169079			204.571	150.438
00:00:00.277	1443463169083				
00:00:00.279	1443463169085	165.791	152.639		
00:00:00.290	1443463169096			204.696	149.849
00:00:00.296	1443463169102	165.902	151.943		
00:00:00.306	1443463169112			204.679	150.485
00:00:00.310	1443463169116				
00:00:00.312	1443463169118	165.668	152.855		
00:00:00.323	1443463169129			204.625	150.598
00:00:00.329	1443463169135	166.184	152.893		
