Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-156.416,233.199,1018.95,-176.854,150.95,976.961,-196.609,67.939,934.515,-201.857,38.8492,921.421,,,,,,,,,,,,,-561.038,204.035,816.296,-528.433,254.493,830.79,-548.831,208.459,777.658,-516.486,257.617,793.124,-504.488,375.083,1629.42,-609.319,344.623,1615.2,-489.24,494.568,1636.92,-581.562,551.037,1624.29
2,0,-156.426,233.233,1018.89,-176.861,150.973,976.919,-196.493,67.9153,934.625,-201.85,38.8469,921.412,,,,,,,,,,,,,-560.943,204.428,815.925,-528.472,254.462,830.814,-548.888,208.453,777.65,-516.512,257.52,793.164,-504.52,375.094,1629.42,-609.393,344.639,1615.26,-489.278,494.579,1636.91,-581.599,551.045,1624.3
3,0,-156.438,233.268,1018.82,-176.871,151.003,976.888,-196.504,67.9214,934.6,-201.852,38.8578,921.426,,,,,,,,,,,,,-561.018,204.341,815.925,-528.536,254.404,830.815,-548.94,208.358,777.703,-516.523,257.453,793.17,-504.569,375.105,1629.43,-609.426,344.635,1615.26,-489.306,494.566,1636.9,-581.598,551.042,1624.28
4,0,-156.469,233.297,1018.78,-176.888,151.02,976.858,-196.506,67.9389,934.589,-201.857,38.8515,921.439,,,,,,,,,,,,,-561.057,204.327,815.963,-528.554,254.359,830.825,-548.98,208.336,777.707,-516.59,257.398,793.194,-504.616,375.125,1629.42,-609.466,344.669,1615.25,-489.331,494.594,1636.89,-581.612,551.057,1624.28
5,0,-156.511,233.33,1018.73,-176.917,151.049,976.833,-196.536,67.947,934.579,-201.874,38.8667,921.432,,,,,,,,,,,,,-560.528,205.984,814.782,-528.598,254.283,830.845,-549.041,208.253,777.734,-516.622,257.329,793.196,-504.655,375.14,1629.43,-609.482,344.662,1615.21,-489.358,494.601,1636.91,-581.639,551.074,1624.28
6,0,-156.535,233.337,1018.74,-176.934,151.063,976.803,-196.546,67.9626,934.552,-201.863,38.8889,921.448,,,,,,,,,,,,,-560.59,205.939,814.822,-528.635,254.223,830.855,-549.081,208.158,777.793,-516.659,257.293,793.195,-504.712,375.18,1629.42,-609.642,344.664,1615.32,-489.396,494.602,1636.92,-581.627,551.093,1624.25
7,0,-156.548,233.358,1018.7,-176.937,151.083,976.766,-196.546,67.9781,934.541,-201.854,38.9151,921.448,,,,,,,,,,,,,-560.633,205.885,814.846,-528.66,254.201,830.856,-549.132,208.036,777.843,-516.684,257.268,793.181,-504.764,375.186,1629.41,-609.638,344.716,1615.26,-489.418,494.609,1636.9,-581.625,551.098,1624.23
8,0,-156.575,233.371,1018.67,-176.97,151.095,976.748,-196.562,67.9992,934.527,-201.867,38.9294,921.455,,,,,,,,,,,,,-560.679,205.863,814.852,-528.697,254.146,830.884,-549.207,207.898,777.879,-516.711,257.224,793.19,-504.791,375.219,1629.42,-609.678,344.752,1615.22,-489.442,494.609,1636.9,-581.631,551.099,1624.21
9,0,-156.612,233.389,1018.64,-176.997,151.118,976.719,-196.579,68.0212,934.505,-201.878,38.9508,921.462,,,,,,,,,,,,,-560.699,205.81,814.866,-528.724,254.1,830.888,-549.254,207.848,777.928,-516.756,257.204,793.164,-504.842,375.243,1629.4,-609.715,344.79,1615.22,-489.467,494.628,1636.9,-581.626,551.116,1624.2
10,0,-156.642,233.409,1018.62,-177.025,151.124,976.697,-196.583,68.0231,934.499,-201.874,38.9575,921.473,,,,,,,,,,,,,-560.729,205.784,814.872,-528.73,254.038,830.91,-549.316,207.676,777.96,-516.767,257.148,793.176,-504.874,375.267,1629.41,-609.726,344.79,1615.23,-489.493,494.631,1636.9,-581.626,551.127,1624.18
11,0,-156.658,233.43,1018.59,-177.025,151.136,976.688,-196.568,68.0229,934.5,-201.861,38.9601,921.484,,,,,,,,,,,,,-560.727,205.727,814.894,-528.742,254.023,830.938,-549.343,207.519,778.085,-516.771,257.123,793.197,-504.915,375.276,1629.4,-609.793,344.798,1615.24,-489.516,494.642,1636.88,-581.628,551.12,1624.17
12,0,-156.661,233.453,1018.55,-177.026,151.134,976.665,-196.562,68.0228,934.494,-201.838,38.9824,921.483,,,,,,,,,,,,,-560.737,205.679,814.917,-528.757,253.953,830.931,-549.406,207.457,778.051,-516.809,257.088,793.17,-504.938,375.314,1629.39,-609.808,344.839,1615.2,-489.523,494.64,1636.87,-581.608,551.113,1624.12
