
Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16,0,-276.982,243.478,980.681,-245.431,157.485,954.556,-213.713,70.8357,928.95,-203.148,42.4897,922.254,,,,,,,,,,,,,-558.738,190.828,818.222,-527.557,241.298,833.219,-545.959,197.666,779.42,-515.994,245.118,795.523,-472.523,354.22,1604.95,-578.36,322.274,1601.23,-457.891,473.648,1614.43,-551.774,528.601,1612.93
17,0,-276.935,243.515,980.594,-245.388,157.548,954.454,-213.744,70.8328,928.939,-203.155,42.4817,922.266,,,,,,,,,,,,,-558.116,191.954,817.766,-527.319,241.512,833.373,-545.715,197.722,779.605,-515.827,245.359,795.678,-473.78,354.92,1607.05,-579.611,322.684,1602.19,-459.45,474.338,1616.49,-553.428,529.066,1613.97
18,0,-276.869,243.564,980.471,-245.362,157.532,954.434,-213.723,70.8404,928.913,-203.164,42.4869,922.267,,,,,,,,,,,,,-558.056,191.152,818.55,-527.055,241.737,833.545,-545.394,197.872,779.814,-515.614,245.582,795.805,-474.849,355.542,1609.06,-580.625,323.031,1603.27,-460.993,474.975,1618.53,-555.054,529.514,1615.06
19,0,-276.821,243.612,980.388,-245.341,157.653,954.244,-213.706,70.8269,928.913,-203.166,42.4729,922.259,,,,,,,,,,,,,-557.753,191.214,818.707,-526.804,241.873,833.655,-545.004,198.204,779.916,-515.42,245.801,795.897,-476.161,355.995,1611.04,-581.825,323.445,1604.3,-462.493,475.514,1620.35,-556.586,529.893,1616.04
20,0,-276.788,243.657,980.328,-245.297,157.627,954.26,-213.695,70.83,928.901,-203.098,42.5179,922.599,,,,,,,,,,,,,-557.336,191.448,818.894,-526.578,242.075,833.877,-544.685,198.283,780.035,-515.222,246.085,796.042,-477.483,356.509,1612.96,-583.001,323.751,1605.26,-463.971,475.972,1622.3,-558.12,530.319,1616.9
21,0,-276.74,243.682,980.246,-245.281,157.673,954.125,-213.676,70.8343,928.886,-203.137,42.4851,922.404,,,,,,,,,,,,,-556.967,191.688,819.108,-526.35,242.243,834.036,-544.422,198.337,780.239,-515.018,246.308,796.217,-478.608,356.978,1614.68,-584.141,324.072,1606.17,-465.51,476.483,1623.92,-559.549,530.714,1617.73
22,0,-276.714,243.705,980.19,-245.234,157.63,954.152,-213.673,70.8307,928.891,-203.112,42.4583,922.411,,,,,,,,,,,,,-556.669,191.738,819.2,-526.156,242.438,834.239,-544.094,198.452,780.437,-514.844,246.527,796.385,-479.937,357.278,1616.34,-585.341,324.306,1606.95,-466.974,476.823,1625.61,-560.991,531.031,1618.5
23,0,-276.672,243.695,980.138,-245.184,157.619,954.12,-213.629,70.829,928.874,-203.005,42.4684,922.605,,,,,,,,,,,,,-556.035,192.79,818.78,-525.972,242.678,834.401,-543.85,198.422,780.821,-514.658,246.745,796.538,-481.069,357.579,1618.04,-586.251,324.562,1607.77,-468.242,477.204,1627.2,-562.436,531.305,1619.3
24,0,-276.656,243.701,980.082,-245.182,157.669,954.021,-213.593,70.8133,928.873,-202.991,42.4744,922.603,,,,,,,,,,,,,-555.921,192.026,819.509,-525.756,242.959,834.613,-543.517,198.618,780.891,-514.472,246.971,796.694,-482.291,357.951,1619.49,-587.554,324.828,1608.41,-469.584,477.535,1628.64,-563.699,531.505,1620.02
25,0,-276.63,243.703,980.021,-245.156,157.654,953.997,-213.565,70.7974,928.867,-203.019,42.4202,922.405,,,,,,,,,,,,,-555.348,192.991,819.088,-525.582,243.222,834.737,-543.219,198.822,781.004,-514.299,247.246,796.851,-483.585,358.204,1620.99,-588.456,325.009,1609.21,-470.924,477.692,1630.2,-564.935,531.697,1620.74
