Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,-552.94,-175.997,955.197,-538.314,-221.714,895.9,-549.091,-221.43,805.724,-519.894,-160.029,783.806,-316.816,109.869,942.321,-306.895,165.306,962.919,-277.709,102.119,943.175,-268.035,157.735,964.286,-315.94,361.34,1628.14,-418.96,320.863,1622.55,-311.087,481.899,1629.65,-408.715,529.12,1620.47
2,0,,,,,,,,,,,,,-552.946,-175.991,955.186,-538.313,-221.715,895.899,-549.09,-221.435,805.728,-519.915,-160.024,783.786,-316.814,109.857,942.319,-306.896,165.301,962.925,-277.71,102.102,943.175,-268.025,157.712,964.292,-315.904,361.331,1628.13,-418.809,320.871,1622.3,-311.053,481.9,1629.64,-408.682,529.115,1620.46
3,0,,,,,,,,,,,,,-552.953,-176.012,955.204,-538.323,-221.725,895.913,-549.086,-221.426,805.732,-519.925,-160.021,783.787,-316.809,109.866,942.308,-306.897,165.301,962.928,-277.695,102.11,943.199,-268.03,157.717,964.277,-315.854,361.314,1628.12,-418.737,320.812,1622.31,-311.004,481.898,1629.62,-408.659,529.106,1620.45
4,0,,,,,,,,,,,,,-552.948,-175.983,955.194,-538.326,-221.728,895.908,-549.091,-221.43,805.737,-519.952,-160.01,783.777,-316.819,109.862,942.327,-306.892,165.286,962.921,-277.699,102.108,943.184,-268.024,157.708,964.286,-315.808,361.299,1628.09,-418.838,320.851,1622.5,-310.965,481.897,1629.61,-408.636,529.097,1620.44
5,0,,,,,,,,,,,,,-552.939,-175.973,955.176,-538.321,-221.727,895.911,-549.097,-221.437,805.736,-519.911,-160.026,783.789,-316.794,109.85,942.308,-306.891,165.284,962.921,-277.697,102.107,943.192,-268.012,157.709,964.279,-315.758,361.279,1628.08,-418.772,320.84,1622.45,-310.949,481.869,1629.59,-408.613,529.077,1620.44
6,0,,,,,,,,,,,,,-552.942,-175.983,955.198,-538.323,-221.746,895.918,-549.09,-221.438,805.733,-519.958,-160.008,783.763,-316.813,109.841,942.317,-306.899,165.288,962.903,-277.694,102.102,943.174,-268.03,157.707,964.244,-315.744,361.255,1628.03,-418.805,320.835,1622.35,-310.921,481.854,1629.57,-408.584,529.065,1620.41
7,0,,,,,,,,,,,,,-552.941,-175.976,955.183,-538.339,-221.76,895.92,-549.1,-221.441,805.749,-519.856,-160.047,783.798,-316.814,109.852,942.285,-306.913,165.262,962.884,-277.702,102.108,943.174,-268.044,157.687,964.237,-315.698,361.223,1628.01,-418.814,320.816,1622.39,-310.904,481.828,1629.55,-408.563,529.034,1620.41
8,0,,,,,,,,,,,,,-552.936,-175.982,955.205,-538.321,-221.748,895.922,-549.095,-221.447,805.749,-519.916,-160.025,783.813,-316.791,109.773,942.318,-306.925,165.244,962.882,-277.693,102.098,943.166,-268.045,157.668,964.211,-315.675,361.183,1627.98,-418.653,320.704,1622.47,-310.895,481.786,1629.51,-408.531,529.005,1620.4
9,0,,,,,,,,,,,,,-552.935,-175.976,955.186,-538.342,-221.779,895.931,-549.101,-221.455,805.752,-519.917,-160.033,783.783,-316.804,109.777,942.272,-306.94,165.234,962.867,-277.692,102.088,943.171,-268.069,157.662,964.202,-315.633,361.157,1627.94,-418.805,320.768,1622.35,-310.863,481.742,1629.49,-408.523,528.985,1620.4
