rec_time	UTC	Dikablis Professional_Eye Data_Original_Pupil X	Dikablis Professional_Eye Data_Original_Pupil Y	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:00.074	1440787673696						
00:00:00.075	1440787673697	173.969	126.491			194.6	132.15
00:00:00.076	1440787673698			153.338	120.833		
00:00:00.091	1440787673713	173.943	125.851			194.629	131.596
00:00:00.092	1440787673714			153.257	120.105		
00:00:00.107	1440787673729						
00:00:00.108	1440787673730	173.882	126.502			194.475	132.208
00:00:00.109	1440787673731			153.288	120.797		
00:00:00.125	1440787673747	173.884	125.92			194.588	131.633
00:00:00.126	1440787673748			153.18	120.207		
00:00:00.140	1440787673762						
00:00:00.141	1440787673763	173.865	126.5			194.581	132.191
00:00:00.142	1440787673764			153.148	120.809		
00:00:00.158	1440787673780	173.813	125.915			194.492	131.644
00:00:00.159	1440787673781			153.134	120.185		
00:00:00.173	1440787673795						
00:00:00.174	1440787673796						
00:00:00.175	1440787673797	173.892	126.591			194.545	132.232
00:00:00.176	1440787673798			153.238	120.95		
00:00:00.191	1440787673813	173.816	125.989			194.52	131.643
00:00:00.192	1440787673814			153.111	120.335		
00:00:00.207	1440787673829						
00:00:00.208	1440787673830	173.837	126.585			194.498	132.252
00:00:00.209	1440787673831			153.175	120.917		
00:00:00.225	1440787673847	173.856	126.014			194.519	131.75
00:00:00.226	1440787673848			153.194	120.278		
00:00:00.240	1440787673862						
00:00:00.241	1440787673863	173.91	126.693			194.535	132.354
00:00:00.242	1440787673864			153.286	121.032		
00:00:00.258	1440787673880	173.854	126.053			194.499	131.726
00:00:00.259	1440787673881			153.21	120.379		
00:00:00.274	1440787673896						
00:00:00.275	1440787673897	173.925	126.686			194.531	132.351
00:00:00.276	1440787673898			153.319	121.022		
00:00:00.291	1440787673913	174.002	126.077			194.639	131.768
00:00:00.292	1440787673914			153.364	120.387		
00:00:00.307	1440787673929						
00:00:00.308	1440787673930	174.079	126.716			194.747	132.377
00:00:00.309	1440787673931			153.411	121.054		
00:00:00.325	1440787673947	174.113	126.152			194.732	131.835
00:00:00.326	1440787673948			153.494	120.47		
00:00:00.340	1440787673962						
00:00:00.341	1440787673963	174.209	126.69			194.83	132.325
00:00:00.342	1440787673964			153.588	121.055		
00:00:00.358	1440787673980	174.003	126.155			194.69	131.797
00:00:00.359	1440787673981			153.315	120.514		
00:00:00.374	1440787673996						
00:00:00.375	1440787673997	173.859	126.828			194.352	132.428
00:00:00.376	1440787673998			153.366	121.229		
00:00:00.391	1440787674013	174.234	126.257			194.802	131.892
00:00:00.392	1440787674014			153.666	120.622		
00:00:00.407	1440787674029						
00:00:00.408	1440787674030	174.309	126.798			194.893	132.371
00:00:00.409	1440787674031			153.726	121.226		
00:00:00.425	1440787674047	174.362	126.243			194.943	131.851
00:00:00.426	1440787674048			153.781	120.636		
00:00:00.440	1440787674062						
00:00:00.441	1440787674063	174.421	126.746			195.021	132.332
00:00:00.442	1440787674064			153.822	121.161		
00:00:00.458	1440787674080	174.443	126.182			195.063	131.781
00:00:00.459	1440787674081			153.823	120.583		
00:00:00.473	1440787674095						
00:00:00.474	1440787674096						
00:00:00.475	1440787674097	174.55	126.713			195.196	132.203
00:00:00.476	1440787674098			153.904	121.223		
00:00:00.491	1440787674113	174.591	126.108			195.187	131.712
00:00:00.492	1440787674114			153.994	120.504		
00:00:00.506	1440787674128						
00:00:00.507	1440787674129						
00:00:00.508	1440787674130	174.643	126.696			195.229	132.204
00:00:00.509	1440787674131			154.057	121.188		
00:00:00.525	1440787674147	174.683	126.088			195.322	131.692
00:00:00.526	1440787674148			154.044	120.484		
00:00:00.539	1440787674161						
00:00:00.540	1440787674162						
00:00:00.541	1440787674163	174.746	126.709			195.34	132.224
00:00:00.542	1440787674164			154.152	121.193		
00:00:00.558	1440787674180	174.692	126.082			195.262	131.678
00:00:00.559	1440787674181			154.122	120.487		
00:00:00.574	1440787674196						
00:00:00.575	1440787674197	174.738	126.595			195.346	132.211
00:00:00.576	1440787674198			154.131	120.978		
00:00:00.591	1440787674213	174.77	126.04			195.379	131.665
00:00:00.592	1440787674214			154.162	120.415		
00:00:00.607	1440787674229						
00:00:00.608	1440787674230	174.892	126.61			195.436	132.22
00:00:00.609	1440787674231			154.347	121.001		
00:00:00.625	1440787674247	174.878	126.021			195.367	131.66
00:00:00.626	1440787674248			154.389	120.382		
00:00:00.640	1440787674262						
00:00:00.641	1440787674263	174.983	126.582			195.484	132.262
00:00:00.642	1440787674264			154.481	120.901		
00:00:00.658	1440787674280	175.001	125.947			195.498	131.627
00:00:00.659	1440787674281			154.505	120.267		
00:00:00.674	1440787674296						
00:00:00.675	1440787674297	175.054	126.527			195.523	132.213
00:00:00.676	1440787674298			154.584	120.84		
00:00:00.691	1440787674313	175.026	125.934			195.547	131.609
00:00:00.692	1440787674314			154.506	120.26		
00:00:00.707	1440787674329						
00:00:00.708	1440787674330	175.108	126.576			195.644	132.194
00:00:00.709	1440787674331			154.572	120.959		
00:00:00.725	1440787674347	175.118	125.951			195.636	131.562
00:00:00.726	1440787674348			154.599	120.341		
00:00:00.740	1440787674362						
00:00:00.741	1440787674363	175.202	126.51			195.773	132.165
00:00:00.742	1440787674364			154.631	120.855		
00:00:00.758	1440787674380	175.15	125.909			195.566	131.543
00:00:00.759	1440787674381			154.734	120.276		
00:00:00.774	1440787674396						
00:00:00.775	1440787674397	175.242	126.531			195.773	132.15
00:00:00.776	1440787674398			154.712	120.913		
00:00:00.791	1440787674413	175.257	125.953			195.702	131.595
00:00:00.792	1440787674414			154.813	120.31		
00:00:00.807	1440787674429						
00:00:00.808	1440787674430	175.244	126.56			195.783	132.135
00:00:00.809	1440787674431			154.705	120.986		
00:00:00.825	1440787674447	175.218	125.967			195.756	131.556
00:00:00.826	1440787674448			154.681	120.377		
00:00:00.840	1440787674462						
00:00:00.841	1440787674463	175.21	126.504			195.746	132.116
00:00:00.842	1440787674464			154.673	120.893		
00:00:00.858	1440787674480	175.14	125.946			195.656	131.581
00:00:00.859	1440787674481			154.623	120.311		
00:00:00.873	1440787674495						
00:00:00.874	1440787674496						
00:00:00.875	1440787674497	175.144	126.511			195.711	132.139
00:00:00.876	1440787674498			154.577	120.884		
00:00:00.891	1440787674513	175.086	125.918			195.606	131.529
00:00:00.892	1440787674514			154.566	120.307		
00:00:00.906	1440787674528						
00:00:00.907	1440787674529						
00:00:00.908	1440787674530	175.117	126.498			195.718	132.107
00:00:00.909	1440787674531			154.515	120.889		
00:00:00.925	1440787674547	174.997	125.884			195.45	131.453
00:00:00.926	1440787674548			154.544	120.315		
00:00:00.939	1440787674561						
00:00:00.940	1440787674562						
00:00:00.941	1440787674563	175.108	126.499			195.681	132.106
00:00:00.942	1440787674564			154.534	120.891		
00:00:00.958	1440787674580	175	125.873			195.439	131.485
00:00:00.959	1440787674581			154.561	120.262		
00:00:00.972	1440787674594						
00:00:00.974	1440787674596						
00:00:00.975	1440787674597	175.113	126.499			195.679	132.085
00:00:00.976	1440787674598			154.547	120.913		
00:00:00.991	1440787674613	174.958	125.907			195.559	131.47
00:00:00.992	1440787674614			154.357	120.344		
00:00:01.007	1440787674629						
