Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.061,94.8371,970.382,-317.112,149.884,991.795,-286.949,87.2095,972.494,-278.29,142.31,994.425,-249.629,375.615,1569.13,-351.681,336.828,1587.3,-241.095,495.707,1576.83,-336.965,544.103,1595.39
21,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.074,94.842,970.351,-317.116,149.89,991.775,-286.962,87.2227,972.48,-278.308,142.306,994.416,-249.639,375.652,1569.11,-351.712,336.835,1587.32,-241.079,495.721,1576.83,-336.965,544.115,1595.39
22,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.085,94.8319,970.335,-317.127,149.899,991.77,-286.968,87.2267,972.482,-278.315,142.301,994.417,-249.631,375.647,1569.14,-351.692,336.875,1587.36,-241.074,495.736,1576.85,-336.953,544.125,1595.39
23,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.085,94.8508,970.325,-317.127,149.902,991.75,-286.964,87.2335,972.464,-278.319,142.303,994.403,-249.624,375.668,1569.13,-351.663,336.921,1587.33,-241.065,495.743,1576.85,-336.95,544.13,1595.4
24,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.073,94.8566,970.309,-317.133,149.909,991.704,-286.968,87.2527,972.451,-278.316,142.308,994.396,-249.613,375.689,1569.14,-351.771,336.808,1587.46,-241.044,495.753,1576.85,-336.951,544.137,1595.39
25,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.087,94.8443,970.315,-317.132,149.904,991.71,-286.977,87.2409,972.456,-278.33,142.301,994.399,-249.607,375.683,1569.16,-351.715,336.75,1587.37,-241.035,495.776,1576.87,-336.949,544.147,1595.4
26,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.084,94.8594,970.283,-317.142,149.916,991.714,-286.992,87.2592,972.437,-278.325,142.303,994.403,-249.595,375.709,1569.14,-351.757,336.853,1587.43,-241.06,495.778,1576.86,-336.931,544.159,1595.4
27,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.071,94.865,970.272,-317.124,149.905,991.698,-286.982,87.2562,972.43,-278.316,142.293,994.411,-249.587,375.725,1569.16,-351.717,336.867,1587.42,-241.048,495.789,1576.86,-336.943,544.164,1595.4
28,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.071,94.8758,970.262,-317.115,149.924,991.711,-286.969,87.2471,972.41,-278.308,142.292,994.384,-249.571,375.724,1569.15,-351.302,336.887,1587.21,-241.048,495.795,1576.85,-336.94,544.172,1595.41
29,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.073,94.8656,970.269,-317.118,149.915,991.685,-286.98,87.2532,972.412,-278.311,142.304,994.378,-249.547,375.737,1569.18,-351.546,336.964,1587.32,-241.037,495.803,1576.88,-336.941,544.167,1595.41
30,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.062,94.8792,970.247,-317.117,149.935,991.685,-286.976,87.2639,972.39,-278.297,142.304,994.38,-249.546,375.758,1569.18,-351.574,336.911,1587.33,-241.046,495.823,1576.87,-336.964,544.189,1595.41
31,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.055,94.8786,970.26,-317.102,149.906,991.682,-286.973,87.2641,972.395,-278.296,142.298,994.381,-249.59,375.768,1569.18,-351.619,336.9,1587.4,-241.034,495.836,1576.88,-336.941,544.196,1595.41
32,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.057,94.878,970.234,-317.101,149.914,991.676,-286.971,87.2648,972.383,-278.291,142.293,994.374,-249.553,375.775,1569.18,-351.681,336.773,1587.47,-241.024,495.843,1576.9,-336.95,544.199,1595.42
33,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.061,94.8715,970.24,-317.098,149.911,991.678,-286.975,87.2576,972.363,-278.287,142.285,994.38,-249.692,375.808,1569.24,-351.498,336.889,1587.32,-241.026,495.841,1576.92,-336.973,544.188,1595.43
34,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.055,94.8762,970.208,-317.103,149.929,991.649,-286.977,87.2549,972.377,-278.29,142.271,994.363,-249.638,375.771,1569.29,-351.533,336.938,1587.38,-241.028,495.863,1576.91,-336.977,544.196,1595.44
35,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.055,94.8828,970.222,-317.101,149.917,991.644,-286.979,87.2535,972.372,-278.292,142.28,994.36,-249.55,375.82,1569.2,-351.645,336.852,1587.5,-241.037,495.866,1576.93,-336.992,544.19,1595.46
36,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.061,94.8796,970.201,-317.103,149.923,991.622,-286.974,87.2598,972.361,-278.294,142.29,994.338,-249.541,375.829,1569.21,-351.597,336.854,1587.44,-241.03,495.887,1576.94,-337.01,544.188,1595.46
37,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.071,94.8696,970.202,-317.114,149.92,991.624,-286.987,87.2589,972.337,-278.304,142.28,994.354,-249.602,375.819,1569.27,-351.634,336.853,1587.47,-241.028,495.88,1576.96,-337.02,544.19,1595.47
38,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.071,94.8559,970.19,-317.125,149.912,991.611,-287.008,87.2431,972.323,-278.322,142.278,994.334,-249.522,375.835,1569.23,-351.599,336.898,1587.41,-241.065,495.875,1576.98,-337.023,544.182,1595.48
39,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.081,94.8744,970.17,-317.13,149.894,991.619,-287.016,87.252,972.314,-278.324,142.278,994.327,-249.53,375.839,1569.24,-351.604,336.904,1587.46,-241.04,495.901,1577.01,-337.046,544.191,1595.49
40,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.071,94.8651,970.153,-317.132,149.91,991.606,-287.015,87.2492,972.302,-278.318,142.266,994.302,-249.551,375.844,1569.27,-351.647,336.827,1587.51,-241.036,495.901,1577.02,-337.042,544.195,1595.51
41,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.082,94.8753,970.145,-317.141,149.899,991.592,-287.021,87.234,972.294,-278.338,142.266,994.302,-249.676,375.84,1569.33,-351.633,336.896,1587.44,-241.051,495.879,1577.04,-337.031,544.186,1595.53
