rec_time	UTC	Dikablis Professional_Eye Data_Original_Pupil X	Dikablis Professional_Eye Data_Original_Pupil Y	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:00.033	1440787366706	173.733	134.957	151.087	132.003		
00:00:00.038	1440787366711					196.379	137.911
00:00:00.040	1440787366713						
00:00:00.049	1440787366722	173.823	135.511	151.155	132.652		
00:00:00.054	1440787366727					196.49	138.37
00:00:00.066	1440787366739	173.706	134.996	151.056	132.093		
00:00:00.071	1440787366744					196.355	137.9
00:00:00.073	1440787366746						
00:00:00.083	1440787366756	173.764	135.603	151.064	132.758		
00:00:00.088	1440787366761					196.465	138.448
00:00:00.099	1440787366772	173.676	134.974	150.996	132.037		
00:00:00.104	1440787366777					196.356	137.912
00:00:00.106	1440787366779						
00:00:00.116	1440787366789	173.663	135.619	150.918	132.761		
00:00:00.121	1440787366794					196.407	138.477
00:00:00.133	1440787366806	173.59	134.996	150.933	132.086		
00:00:00.138	1440787366811					196.248	137.906
00:00:00.139	1440787366812						
00:00:00.140	1440787366813						
00:00:00.149	1440787366822	173.557	135.614	150.774	132.679		
00:00:00.154	1440787366827					196.339	138.548
00:00:00.166	1440787366839	173.523	135.047	150.796	132.126		
00:00:00.171	1440787366844					196.251	137.969
00:00:00.172	1440787366845						
00:00:00.173	1440787366846						
00:00:00.183	1440787366856	173.595	135.646	150.846	132.7		
00:00:00.188	1440787366861					196.343	138.592
00:00:00.199	1440787366872	173.479	135.059	150.818	132.119		
00:00:00.204	1440787366877					196.139	138
00:00:00.206	1440787366879						
00:00:00.216	1440787366889	173.531	135.626	150.723	132.704		
00:00:00.221	1440787366894					196.339	138.548
00:00:00.233	1440787366906	173.499	135.097	150.847	132.12		
00:00:00.238	1440787366911					196.151	138.074
00:00:00.240	1440787366913						
00:00:00.249	1440787366922	173.603	135.598	150.83	132.613		
00:00:00.254	1440787366927					196.376	138.583
00:00:00.266	1440787366939	173.538	135.152	150.844	132.128		
00:00:00.271	1440787366944					196.231	138.176
00:00:00.273	1440787366946						
00:00:00.283	1440787366956	173.603	135.649	150.854	132.662		
00:00:00.288	1440787366961					196.352	138.636
00:00:00.299	1440787366972	173.532	135.162	150.754	132.121		
00:00:00.304	1440787366977					196.31	138.203
00:00:00.306	1440787366979						
00:00:00.316	1440787366989	173.974	135.887	150.865	132.801		
00:00:00.321	1440787366994					197.082	138.973
00:00:00.333	1440787367006	174.172	136.081	151.262	133.189		
00:00:00.338	1440787367011					197.082	138.973
00:00:00.339	1440787367012						
00:00:00.340	1440787367013						
00:00:00.349	1440787367022	174.172	136.081	151.262	133.189		
00:00:00.354	1440787367027					197.082	138.973
00:00:00.366	1440787367039	174.172	136.081	151.262	133.189		
00:00:00.371	1440787367044					197.082	138.973
00:00:00.372	1440787367045						
00:00:00.373	1440787367046						
00:00:00.383	1440787367056	174.172	136.081	151.262	133.189		
00:00:00.388	1440787367061					197.082	138.973
00:00:00.399	1440787367072	174.172	136.081	151.262	133.189		
00:00:00.404	1440787367077					197.082	138.973
00:00:00.405	1440787367078						
00:00:00.406	1440787367079						
00:00:00.416	1440787367089	174.172	136.081	151.262	133.189		
00:00:00.421	1440787367094					197.082	138.973
00:00:00.433	1440787367106	174.172	136.081	151.262	133.189		
00:00:00.438	1440787367111					197.082	138.973
00:00:00.440	1440787367113						
00:00:00.449	1440787367122	174.172	136.081	151.262	133.189		
00:00:00.454	1440787367127					197.082	138.973
00:00:00.466	1440787367139	174.172	136.081	151.262	133.189		
00:00:00.471	1440787367144					197.082	138.973
00:00:00.473	1440787367146						
00:00:00.483	1440787367156	174.172	136.081	151.262	133.189		
00:00:00.488	1440787367161					197.082	138.973
00:00:00.499	1440787367172	174.172	136.081	151.262	133.189		
00:00:00.504	1440787367177					197.082	138.973
00:00:00.506	1440787367179						
00:00:00.516	1440787367189	174.172	136.081	151.262	133.189		
00:00:00.521	1440787367194					197.082	138.973
00:00:00.533	1440787367206	174.172	136.081	151.262	133.189		
00:00:00.538	1440787367211					197.082	138.973
00:00:00.539	1440787367212						
00:00:00.540	1440787367213						
00:00:00.549	1440787367222	174.172	136.081	151.262	133.189		
00:00:00.554	1440787367227					197.082	138.973
00:00:00.566	1440787367239	174.172	136.081	151.262	133.189		
00:00:00.571	1440787367244					197.082	138.973
00:00:00.573	1440787367246						
00:00:00.583	1440787367256	174.172	136.081	151.262	133.189		
00:00:00.588	1440787367261					197.082	138.973
00:00:00.599	1440787367272	174.172	136.081	151.262	133.189		
00:00:00.604	1440787367277					197.082	138.973
00:00:00.606	1440787367279						
00:00:00.616	1440787367289	174.172	136.081	151.262	133.189		
00:00:00.621	1440787367294					197.082	138.973
00:00:00.633	1440787367306	174.172	136.081	151.262	133.189		
00:00:00.638	1440787367311					197.082	138.973
00:00:00.640	1440787367313						
00:00:00.649	1440787367322	174.172	136.081	151.262	133.189		
00:00:00.654	1440787367327					197.082	138.973
00:00:00.666	1440787367339	174.172	136.081	151.262	133.189		
00:00:00.671	1440787367344					197.082	138.973
00:00:00.673	1440787367346						
00:00:00.683	1440787367356	174.172	136.081	151.262	133.189		
00:00:00.688	1440787367361					197.082	138.973
00:00:00.699	1440787367372	174.172	136.081	151.262	133.189		
00:00:00.704	1440787367377					197.082	138.973
00:00:00.706	1440787367379						
00:00:00.716	1440787367389	174.172	136.081	151.262	133.189		
00:00:00.721	1440787367394					197.082	138.973
00:00:00.733	1440787367406	174.172	136.081	151.262	133.189		
00:00:00.738	1440787367411					197.082	138.973
00:00:00.740	1440787367413						
00:00:00.749	1440787367422	174.172	136.081	151.262	133.189		
00:00:00.754	1440787367427					197.082	138.973
00:00:00.766	1440787367439	174.172	136.081	151.262	133.189		
00:00:00.771	1440787367444					197.082	138.973
00:00:00.773	1440787367446						
00:00:00.783	1440787367456	174.172	136.081	151.262	133.189		
00:00:00.788	1440787367461					197.082	138.973
00:00:00.799	1440787367472	174.203	135.79	151.262	133.189		
00:00:00.804	1440787367477					197.143	138.392
00:00:00.806	1440787367479						
00:00:00.816	1440787367489	174.229	136.09	151.262	133.189		
00:00:00.821	1440787367494					197.196	138.991
00:00:00.833	1440787367506	174.227	135.547	151.255	132.701		
00:00:00.838	1440787367511					197.2	138.394
00:00:00.840	1440787367513						
00:00:00.849	1440787367522	174.2	136.149	151.227	133.248		
00:00:00.854	1440787367527					197.172	139.05
00:00:00.866	1440787367539	174.117	135.576	151.136	132.682		
00:00:00.871	1440787367544					197.098	138.47
00:00:00.873	1440787367546						
