rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.739	1440787050852			156.023	135.21		
00:00:00.750	1440787050863	177.905	138.03			199.773	140.216
00:00:00.752	1440787050865						
00:00:00.755	1440787050868			156.037	135.845		
00:00:00.767	1440787050880	177.914	138.068			199.725	140.873
00:00:00.772	1440787050885			156.103	135.263		
00:00:00.784	1440787050897	178.063	138.106			199.916	140.227
00:00:00.785	1440787050898						
00:00:00.789	1440787050902			156.209	135.985		
00:00:00.800	1440787050913	178.061	138.156			199.906	140.913
00:00:00.805	1440787050918			156.215	135.398		
00:00:00.817	1440787050930	178.104	138.149			199.954	140.269
00:00:00.818	1440787050931						
00:00:00.822	1440787050935			156.255	136.029		
00:00:00.834	1440787050947	178.162	138.142			200.026	140.896
00:00:00.839	1440787050952			156.299	135.388		
00:00:00.850	1440787050963	178.186	138.107			200.128	140.18
00:00:00.852	1440787050965						
00:00:00.855	1440787050968			156.245	136.033		
00:00:00.867	1440787050980	178.169	138.233			200.074	140.993
00:00:00.872	1440787050985			156.263	135.472		
00:00:00.884	1440787050997	178.218	138.128			200.16	140.202
00:00:00.885	1440787050998						
00:00:00.889	1440787051002			156.276	136.054		
00:00:00.900	1440787051013	178.237	138.249			200.09	140.935
00:00:00.905	1440787051018			156.385	135.564		
00:00:00.917	1440787051030	178.274	138.213			200.241	140.282
00:00:00.918	1440787051031						
00:00:00.922	1440787051035			156.308	136.143		
00:00:00.934	1440787051047	178.262	138.13			200.102	140.726
00:00:00.939	1440787051052			156.422	135.533		
00:00:00.950	1440787051063	178.262	138.151			200.245	140.185
00:00:00.952	1440787051065						
00:00:00.955	1440787051068			156.28	136.117		
00:00:00.967	1440787051080	178.222	138.201			200.097	140.807
00:00:00.972	1440787051085			156.347	135.594		
00:00:00.984	1440787051097	178.253	138.208			200.195	140.253
00:00:00.985	1440787051098						
00:00:00.989	1440787051102			156.312	136.162		
00:00:01.000	1440787051113	178.24	138.185			200.155	140.814
00:00:01.005	1440787051118			156.324	135.557		
00:00:01.017	1440787051130	178.211	138.193			200.163	140.241
00:00:01.018	1440787051131						
00:00:01.022	1440787051135			156.258	136.144		
00:00:01.034	1440787051147	178.08	138.117			200.036	140.789
00:00:01.039	1440787051152			156.125	135.445		
00:00:01.050	1440787051163	178.216	138.179			200.187	140.215
00:00:01.052	1440787051165						
00:00:01.055	1440787051168			156.245	136.143		
00:00:01.067	1440787051180	178.238	138.18			200.157	140.84
00:00:01.072	1440787051185			156.32	135.52		
00:00:01.084	1440787051197	178.195	138.141			200.169	140.186
00:00:01.085	1440787051198						
00:00:01.089	1440787051202			156.221	136.096		
00:00:01.100	1440787051213	178.173	138.664			200.105	140.812
00:00:01.105	1440787051218			156.241	136.516		
00:00:01.117	1440787051230	177.911	138.757			199.582	140.998
00:00:01.118	1440787051231						
00:00:01.122	1440787051235			156.241	136.516		
00:00:01.134	1440787051247	177.911	138.757			199.582	140.998
00:00:01.139	1440787051252			156.241	136.516		
00:00:01.150	1440787051263	177.911	138.757			199.582	140.998
00:00:01.151	1440787051264						
00:00:01.152	1440787051265						
00:00:01.155	1440787051268			156.241	136.516		
00:00:01.167	1440787051280	177.911	138.757			199.582	140.998
00:00:01.172	1440787051285			156.241	136.516		
00:00:01.184	1440787051297	177.911	138.757			199.582	140.998
00:00:01.185	1440787051298						
00:00:01.189	1440787051302			156.241	136.516		
00:00:01.200	1440787051313	177.911	138.757			199.582	140.998
00:00:01.205	1440787051318			156.241	136.516		
00:00:01.217	1440787051330	177.911	138.757			199.582	140.998
00:00:01.218	1440787051331						
00:00:01.222	1440787051335			156.241	136.516		
00:00:01.234	1440787051347	177.911	138.757			199.582	140.998
00:00:01.239	1440787051352			156.241	136.516		
00:00:01.250	1440787051363	177.911	138.757			199.582	140.998
00:00:01.251	1440787051364						
00:00:01.252	1440787051365						
00:00:01.255	1440787051368			156.241	136.516		
00:00:01.267	1440787051380	177.911	138.757			199.582	140.998
00:00:01.272	1440787051385			156.241	136.516		
00:00:01.284	1440787051397	177.911	138.757			199.582	140.998
00:00:01.285	1440787051398						
00:00:01.289	1440787051402			156.241	136.516		
00:00:01.300	1440787051413	177.911	138.757			199.582	140.998
00:00:01.305	1440787051418			156.241	136.516		
00:00:01.317	1440787051430	177.911	138.757			199.582	140.998
00:00:01.318	1440787051431						
00:00:01.322	1440787051435			156.241	136.516		
00:00:01.334	1440787051447	177.911	138.757			199.582	140.998
00:00:01.339	1440787051452			156.241	136.516		
00:00:01.350	1440787051463	177.911	138.757			199.582	140.998
00:00:01.352	1440787051465						
00:00:01.355	1440787051468			156.241	136.516		
00:00:01.367	1440787051480	177.911	138.757			199.582	140.998
00:00:01.372	1440787051485			156.241	136.516		
00:00:01.384	1440787051497	177.911	138.757			199.582	140.998
00:00:01.385	1440787051498						
00:00:01.389	1440787051502			156.241	136.516		
00:00:01.400	1440787051513	177.911	138.757			199.582	140.998
00:00:01.405	1440787051518			156.241	136.516		
00:00:01.417	1440787051530	177.911	138.757			199.582	140.998
00:00:01.418	1440787051531						
00:00:01.422	1440787051535			156.241	136.516		
00:00:01.434	1440787051547	177.911	138.757			199.582	140.998
00:00:01.439	1440787051552			156.241	136.516		
00:00:01.450	1440787051563	177.911	138.757			199.582	140.998
00:00:01.451	1440787051564						
00:00:01.452	1440787051565						
00:00:01.455	1440787051568			156.241	136.516		
00:00:01.467	1440787051580	177.911	138.757			199.582	140.998
00:00:01.472	1440787051585			156.241	136.516		
00:00:01.484	1440787051597	177.911	138.757			199.582	140.998
00:00:01.485	1440787051598						
00:00:01.489	1440787051602			156.241	136.516		
00:00:01.500	1440787051613	177.911	138.757			199.582	140.998
00:00:01.505	1440787051618			156.241	136.516		
00:00:01.517	1440787051630	177.911	138.757			199.582	140.998
00:00:01.518	1440787051631						
00:00:01.522	1440787051635			156.241	136.516		
00:00:01.534	1440787051647	177.911	138.757			199.582	140.998
00:00:01.539	1440787051652			156.241	136.516		
00:00:01.550	1440787051663	177.911	138.757			199.582	140.998
00:00:01.552	1440787051665						
00:00:01.555	1440787051668			156.241	136.516		
00:00:01.567	1440787051680	177.911	138.757			199.582	140.998
00:00:01.572	1440787051685			156.241	136.516		
00:00:01.584	1440787051697	177.925	138.424			199.61	140.332
00:00:01.585	1440787051698						
00:00:01.589	1440787051702			156.241	136.516		
00:00:01.600	1440787051713	177.925	138.453			199.617	141.081
00:00:01.605	1440787051718			156.234	135.826		
00:00:01.617	1440787051730	177.903	138.396			199.539	140.309
00:00:01.618	1440787051731						
00:00:01.622	1440787051735			156.266	136.483		
00:00:01.634	1440787051747	177.964	138.465			199.597	141.069
00:00:01.639	1440787051752			156.332	135.862		
00:00:01.650	1440787051763	177.862	138.408			199.51	140.34
00:00:01.652	1440787051765						
00:00:01.655	1440787051768			156.213	136.475		
00:00:01.667	1440787051780	177.963	138.461			199.643	141.088
00:00:01.672	1440787051785			156.282	135.834		
00:00:01.684	1440787051797	177.933	138.425			199.61	140.415
00:00:01.685	1440787051798						
00:00:01.689	1440787051802			156.256	136.435		
00:00:01.700	1440787051813	177.972	138.449			199.615	141.091
00:00:01.705	1440787051818			156.329	135.806		
00:00:01.717	1440787051830	177.951	138.368			199.633	140.347
00:00:01.718	1440787051831						
00:00:01.722	1440787051835			156.269	136.389		
00:00:01.734	1440787051847	177.933	138.442			199.552	141.036
00:00:01.739	1440787051852			156.313	135.847		
00:00:01.750	1440787051863	177.599	138.336			199.041	140.336
00:00:01.752	1440787051865						
00:00:01.755	1440787051868			156.157	136.336		
00:00:01.767	1440787051880	177.862	138.262			199.219	140.892
00:00:01.772	1440787051885			156.504	135.633		
00:00:01.784	1440787051897	177.726	138.271			199.201	140.303
00:00:01.785	1440787051898						
00:00:01.789	1440787051902			156.252	136.238		
00:00:01.800	1440787051913	177.769	138.227			199.198	140.868
00:00:01.805	1440787051918			156.34	135.587		
00:00:01.817	1440787051930	177.709	138.079			199.246	140.082
00:00:01.818	1440787051931						
00:00:01.822	1440787051935			156.173	136.076		
00:00:01.834	1440787051947	177.769	138.114			199.306	140.758
00:00:01.839	1440787051952			156.232	135.47		
00:00:01.850	1440787051963	177.822	138.094			199.396	140.144
00:00:01.851	1440787051964						
00:00:01.852	1440787051965						
00:00:01.855	1440787051968			156.249	136.044		
00:00:01.867	1440787051980	177.824	138.07			199.35	140.75
00:00:01.872	1440787051985			156.298	135.389		
00:00:01.884	1440787051997	177.753	138.118			199.283	140.187
00:00:01.885	1440787051998						
00:00:01.889	1440787052002			156.222	136.049		
00:00:01.900	1440787052013	177.908	138.227			199.415	140.921
00:00:01.905	1440787052018			156.4	135.532		
00:00:01.917	1440787052030	177.729	138.189			199.281	140.256
00:00:01.918	1440787052031						
00:00:01.922	1440787052035			156.177	136.121		
00:00:01.934	1440787052047	177.833	138.25			199.383	140.895
00:00:01.939	1440787052052			156.284	135.605		
00:00:01.950	1440787052063	177.753	138.134			199.318	140.238
00:00:01.951	1440787052064						
00:00:01.952	1440787052065						
00:00:01.955	1440787052068			156.188	136.03		
00:00:01.967	1440787052080	177.852	138.209			199.432	140.867
00:00:01.972	1440787052085			156.273	135.55		
00:00:01.984	1440787052097	177.745	138.172			199.362	140.193
00:00:01.985	1440787052098						
00:00:01.989	1440787052102			156.129	136.151		
00:00:02.000	1440787052113	177.871	138.249			199.448	140.878
00:00:02.005	1440787052118			156.294	135.621		
00:00:02.017	1440787052130	177.854	138.225			199.49	140.279
00:00:02.018	1440787052131						
00:00:02.022	1440787052135			156.219	136.172		
00:00:02.034	1440787052147	177.821	138.244			199.472	140.908
00:00:02.039	1440787052152			156.171	135.579		
00:00:02.050	1440787052163	177.811	138.193			199.502	140.232
00:00:02.052	1440787052165						
00:00:02.055	1440787052168			156.121	136.153		
00:00:02.067	1440787052180	177.895	138.281			199.538	140.997
00:00:02.072	1440787052185			156.252	135.566		
00:00:02.084	1440787052197	177.803	138.189			199.533	140.277
00:00:02.085	1440787052198						
00:00:02.089	1440787052202			156.073	136.102		
00:00:02.100	1440787052213	177.871	138.278			199.656	141
00:00:02.105	1440787052218			156.087	135.555		
00:00:02.117	1440787052230	177.81	138.256			199.541	140.418
00:00:02.118	1440787052231						
00:00:02.122	1440787052235			156.079	136.095		
00:00:02.134	1440787052247	177.918	138.317			199.633	141.094
00:00:02.139	1440787052252			156.204	135.539		
00:00:02.150	1440787052263	177.877	138.235			199.631	140.376
00:00:02.152	1440787052265						
00:00:02.155	1440787052268			156.122	136.093		
00:00:02.167	1440787052280	177.822	138.309			199.56	141.092
00:00:02.172	1440787052285			156.085	135.526		
00:00:02.184	1440787052297	177.821	138.333			199.617	140.457
00:00:02.185	1440787052298						
