Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-164.089,488.097,1119.74,-145.226,396.322,1104.72,-127.948,303.031,1091.39,-122.846,271.643,1086.9,,,,,,,,,,,,,-550.064,213.068,813.718,-518.969,260.989,829.779,-540.439,216.824,776.559,-508.462,266.082,792.065,-508.182,376.515,1641.35,-609.06,338.199,1615.92,-503.77,496.356,1653.63,-598.661,545.632,1633.14
2,0,-161.826,484.142,1117.04,-143.095,392.47,1101.24,-125.672,299.448,1086.39,-119.877,268.78,1080.06,,,,,,,,,,,,,-550.38,213.289,813.445,-519.378,261.342,829.581,-540.098,218.455,776.03,-508.944,266.481,791.885,-508.148,376.407,1641.35,-609.088,338.156,1615.84,-503.704,496.271,1653.65,-598.576,545.559,1633.14
3,0,-159.706,480.074,1114.27,-141.462,388.649,1097.69,-124.311,295.698,1081.4,-118.758,265.542,1074.57,,,,,,,,,,,,,-550.736,213.588,813.271,-519.497,262.004,829.962,-540.534,218.485,776.075,-509.315,266.844,791.808,-508.119,376.308,1641.34,-609.031,338.081,1615.91,-503.629,496.178,1653.65,-598.5,545.489,1633.13
4,0,-157.894,476.075,1111.46,-140.006,384.764,1093.3,-123.224,292.038,1076.1,-117.83,261.23,1068.91,,,,,,,,,,,,,-551.068,213.721,813.296,-519.82,262.268,829.914,-540.75,219.409,776.048,-509.616,267.114,791.817,-508.07,376.218,1641.34,-608.566,337.946,1616.02,-503.562,496.094,1653.64,-598.426,545.412,1633.13
5,0,-156.141,472.129,1108.61,-139.028,380.597,1089.53,-122.561,288.431,1070.63,-117.269,257.713,1062.99,,,,,,,,,,,,,-551.306,213.84,813.257,-520.128,262.559,829.798,-540.938,219.749,775.945,-509.933,267.355,791.76,-508.029,376.126,1641.32,-608.251,337.863,1615.97,-503.492,496.014,1653.63,-598.352,545.335,1633.12
6,0,-154.588,468.177,1105.81,-138.375,376.641,1085.69,-122.243,285,1065.05,-117.241,254.335,1056.91,,,,,,,,,,,,,-551.768,213.455,813.834,-520.276,263.552,829.448,-541.133,219.936,775.839,-510.212,267.531,791.677,-508.01,376.062,1641.29,-608.215,337.821,1615.92,-503.438,495.928,1653.61,-598.288,545.257,1633.1
7,0,-153.119,464.185,1103.01,-137.545,372.959,1081.39,-122.284,281.56,1059.42,-117.552,250.902,1050.88,,,,,,,,,,,,,-552.291,213.564,814.07,-520.593,263.611,829.376,-541.355,220.024,775.771,-510.398,268.136,791.326,-507.963,375.993,1641.26,-608.19,337.746,1615.93,-503.366,495.842,1653.58,-598.221,545.187,1633.06
8,0,-151.75,460.342,1100.22,-137.082,369.202,1077.29,-122.702,278.128,1053.85,-118.136,247.764,1044.83,,,,,,,,,,,,,-552.504,214.17,813.458,-520.847,263.558,829.375,-541.579,220.135,775.627,-510.631,268.114,791.262,-507.935,375.929,1641.24,-608.797,337.738,1615.8,-503.316,495.759,1653.57,-598.159,545.092,1633.08
9,0,-150.427,456.473,1097.55,-136.771,365.636,1073.31,-123.376,274.79,1048.5,-119.262,244.269,1039.13,,,,,,,,,,,,,-552.874,214.199,813.45,-521.096,263.422,829.353,-541.87,220.136,775.513,-510.818,267.986,791.23,-507.907,375.862,1641.21,-608.098,337.6,1615.84,-503.259,495.684,1653.55,-598.072,544.937,1633.19
10,0,-149.208,452.699,1095.04,-136.631,362.086,1069.47,-124.333,271.442,1043.5,-120.613,241.012,1033.71,,,,,,,,,,,,,-553.202,214.077,813.432,-521.321,263.275,829.264,-542.134,220.154,775.381,-511.003,267.859,791.163,-507.854,375.796,1641.18,-608.071,337.568,1615.83,-503.189,495.604,1653.53,-598.086,544.876,1633.23
11,0,-148.015,449.097,1092.67,-136.534,358.642,1066.01,-125.443,268.15,1038.86,-121.953,238.115,1028.24,,,,,,,,,,,,,-553.466,213.933,813.43,-521.515,263.189,829.183,-542.408,220.062,775.309,-511.194,267.72,791.112,-507.81,375.731,1641.18,-608.046,337.473,1615.82,-503.12,495.522,1653.52,-598.016,544.798,1633.23
12,0,-146.811,445.466,1090.48,-136.505,355.191,1062.85,-126.637,264.47,1034.93,-123.414,235.029,1023.77,,,,,,,,,,,,,-553.725,213.821,813.448,-521.694,263.119,829.142,-542.62,219.98,775.257,-511.406,267.558,791.04,-507.789,375.671,1641.14,-607.997,337.415,1615.77,-503.073,495.443,1653.52,-597.939,544.721,1633.23
13,0,-145.591,441.782,1088.45,-136.436,351.77,1060.12,-127.661,261.267,1031.28,-124.956,231.62,1019.93,,,,,,,,,,,,,-553.917,213.78,813.389,-521.863,263,829.089,-542.828,219.776,775.27,-511.531,267.347,791.044,-507.758,375.597,1641.12,-608.182,337.297,1615.84,-502.989,495.338,1653.5,-597.87,544.636,1633.21
14,0,-144.401,438.096,1086.95,-136.327,348.263,1057.73,-128.579,257.869,1028.32,-126.354,228.225,1016.75,,,,,,,,,,,,,-554.107,213.657,813.376,-522.044,262.793,829.128,-543.007,219.51,775.304,-511.69,267.189,791.03,-507.738,375.513,1641.12,-607.976,337.282,1615.77,-502.933,495.235,1653.49,-597.79,544.562,1633.21
15,0,-143.322,434.423,1085.65,-136.001,344.57,1055.61,-129.388,254.473,1025.29,-127.618,224.87,1014.14,,,,,,,,,,,,,-554.289,213.496,813.362,-522.213,262.64,829.132,-543.182,219.2,775.346,-511.804,266.973,791.044,-507.708,375.421,1641.13,-608.31,337.238,1615.76,-502.854,495.144,1653.47,-597.68,544.487,1633.22
