Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
16,0,,,,,,,,,,,,,-559.538,-168.927,955.306,-542.569,-213.747,895.893,-554,-214.193,805.94,-528.643,-151.601,783.468,-266.519,149.032,962.573,-276.323,93.6604,942.033,-304.598,158.578,956.683,-314.631,103.101,936.434,-323.26,357.468,1619.55,-427.739,321.478,1613.32,-313.374,477.181,1629.77,-409.217,528.576,1626.08
17,0,,,,,,,,,,,,,-559.536,-168.927,955.318,-542.566,-213.735,895.886,-553.983,-214.185,805.935,-528.657,-151.599,783.464,-266.522,149.023,962.571,-276.318,93.6668,942.019,-304.597,158.598,956.662,-314.63,103.111,936.422,-323.272,357.453,1619.55,-427.795,321.457,1613.41,-313.371,477.165,1629.8,-409.218,528.559,1626.11
18,0,,,,,,,,,,,,,-559.538,-168.938,955.316,-542.564,-213.744,895.89,-553.995,-214.203,805.943,-528.654,-151.613,783.467,-266.511,149.012,962.557,-276.319,93.6614,942.004,-304.603,158.572,956.669,-314.642,103.002,936.473,-323.236,357.407,1619.56,-427.721,321.367,1613.27,-313.384,477.15,1629.81,-409.227,528.531,1626.12
19,0,,,,,,,,,,,,,-559.542,-168.934,955.313,-542.575,-213.749,895.892,-553.993,-214.196,805.939,-528.667,-151.6,783.45,-266.528,149.013,962.539,-276.322,93.6653,941.99,-304.606,158.587,956.64,-314.643,103.111,936.382,-323.277,357.421,1619.56,-427.772,321.305,1613.38,-313.395,477.123,1629.83,-409.225,528.51,1626.13
20,0,,,,,,,,,,,,,-559.537,-168.928,955.314,-542.567,-213.741,895.882,-554,-214.196,805.942,-528.639,-151.615,783.486,-266.532,149.024,962.539,-276.34,93.6465,942.062,-304.616,158.609,956.62,-314.651,103.122,936.361,-323.229,357.382,1619.59,-427.692,321.386,1613.33,-313.396,477.106,1629.85,-409.227,528.493,1626.14
21,0,,,,,,,,,,,,,-559.539,-168.932,955.329,-542.574,-213.74,895.882,-553.994,-214.203,805.938,-528.627,-151.613,783.492,-266.526,149.036,962.529,-276.334,93.6862,941.978,-304.613,158.616,956.621,-314.668,102.981,936.44,-323.236,357.379,1619.6,-427.781,321.377,1613.35,-313.409,477.081,1629.88,-409.235,528.472,1626.16
22,0,,,,,,,,,,,,,-559.536,-168.916,955.315,-542.572,-213.743,895.885,-553.991,-214.191,805.939,-528.693,-151.59,783.439,-266.529,149.042,962.516,-276.336,93.6918,941.958,-304.576,158.927,956.375,-314.664,103.001,936.48,-323.242,357.354,1619.6,-427.687,321.233,1613.33,-313.403,477.075,1629.88,-409.246,528.452,1626.15
23,0,,,,,,,,,,,,,-559.548,-168.934,955.327,-542.577,-213.75,895.882,-554.002,-214.199,805.947,-528.647,-151.614,783.463,-266.538,149.056,962.517,-276.334,93.6905,941.966,-304.618,158.624,956.576,-314.663,103.143,936.352,-323.125,357.261,1619.65,-427.794,321.271,1613.35,-313.406,477.051,1629.91,-409.241,528.434,1626.16
24,0,,,,,,,,,,,,,-559.538,-168.919,955.321,-542.57,-213.741,895.891,-553.987,-214.193,805.94,-528.613,-151.616,783.508,-266.549,149.057,962.515,-276.343,93.6975,941.939,-304.635,158.439,956.722,-314.668,103.145,936.344,-323.114,357.265,1619.68,-427.738,321.352,1613.34,-313.423,477.039,1629.91,-409.248,528.428,1626.17
25,0,,,,,,,,,,,,,-559.531,-168.924,955.318,-542.567,-213.738,895.887,-553.994,-214.21,805.94,-528.681,-151.608,783.439,-266.541,149.061,962.501,-276.334,93.6886,941.929,-304.616,158.622,956.545,-314.658,103.097,936.373,-323.105,357.261,1619.67,-427.61,321.299,1613.28,-313.409,477.032,1629.91,-409.248,528.404,1626.17
26,0,,,,,,,,,,,,,-559.537,-168.934,955.321,-542.561,-213.735,895.889,-553.993,-214.204,805.948,-528.679,-151.604,783.44,-266.526,149.049,962.483,-276.335,93.6882,941.909,-304.608,158.621,956.549,-314.668,103.001,936.386,-323.121,357.237,1619.67,-427.749,321.272,1613.33,-313.411,477.008,1629.93,-409.249,528.399,1626.19
27,0,,,,,,,,,,,,,-559.534,-168.931,955.315,-542.568,-213.741,895.886,-553.994,-214.19,805.933,-528.654,-151.602,783.458,-266.535,149.056,962.484,-276.332,93.6882,941.901,-304.6,158.617,956.537,-314.665,103.004,936.388,-323.113,357.225,1619.68,-427.775,321.292,1613.31,-313.396,477,1629.96,-409.233,528.375,1626.18
28,0,,,,,,,,,,,,,-559.539,-168.93,955.318,-542.566,-213.742,895.887,-553.994,-214.188,805.94,-528.641,-151.623,783.472,-266.539,149.056,962.485,-276.331,93.6779,941.899,-304.617,158.611,956.526,-314.664,103.135,936.29,-323.109,357.226,1619.68,-427.572,321.296,1613.26,-313.395,476.987,1629.95,-409.228,528.371,1626.18
29,0,,,,,,,,,,,,,-559.546,-168.936,955.316,-542.563,-213.738,895.889,-553.995,-214.196,805.948,-528.63,-151.616,783.475,-266.529,149.034,962.484,-276.331,93.6743,941.893,-304.609,158.614,956.511,-314.65,103.122,936.285,-323.101,357.212,1619.67,-427.853,321.265,1613.53,-313.392,476.976,1629.95,-409.221,528.369,1626.17
30,0,,,,,,,,,,,,,-559.537,-168.915,955.311,-542.569,-213.745,895.876,-553.993,-214.203,805.937,-528.633,-151.619,783.475,-266.523,149.026,962.473,-276.317,93.67,941.892,-304.603,158.614,956.499,-314.635,103.131,936.262,-323.093,357.21,1619.68,-427.679,321.272,1613.43,-313.373,476.977,1629.95,-409.217,528.355,1626.17
31,0,,,,,,,,,,,,,-559.551,-168.934,955.331,-542.572,-213.748,895.889,-553.998,-214.191,805.936,-528.656,-151.605,783.454,-266.519,149.03,962.476,-276.306,93.6747,941.867,-304.598,158.604,956.494,-314.642,102.988,936.36,-323.09,357.201,1619.69,-427.553,321.196,1613.33,-313.373,476.965,1629.94,-409.2,528.345,1626.17
