rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.077	1440786863416						
00:00:00.110	1440786863449						
00:00:00.143	1440786863482						
00:00:00.177	1440786863516						
00:00:00.208	1440786863547	179.905	129.962	158.675	124.954		
00:00:00.210	1440786863549						
00:00:00.223	1440786863562					201.135	134.97
00:00:00.224	1440786863563	179.89	129.373	158.757	124.374		
00:00:00.239	1440786863578					201.023	134.373
00:00:00.241	1440786863580	179.839	130.012	158.61	124.992		
00:00:00.243	1440786863582						
00:00:00.256	1440786863595					201.068	135.032
00:00:00.258	1440786863597	179.774	129.365	158.576	124.361		
00:00:00.273	1440786863612					200.972	134.368
00:00:00.274	1440786863613	179.785	130.025	158.562	124.973		
00:00:00.277	1440786863616						
00:00:00.289	1440786863628					201.009	135.076
00:00:00.291	1440786863630	179.724	129.347	158.594	124.341		
00:00:00.306	1440786863645					200.853	134.353
00:00:00.308	1440786863647	179.71	129.985	158.482	124.893		
00:00:00.310	1440786863649						
00:00:00.323	1440786863662					200.938	135.076
00:00:00.324	1440786863663	179.682	129.344	158.423	124.331		
00:00:00.339	1440786863678					200.941	134.357
00:00:00.341	1440786863680	179.73	129.928	158.432	124.83		
00:00:00.343	1440786863682						
00:00:00.356	1440786863695					201.028	135.027
00:00:00.358	1440786863697	179.685	129.388	158.446	124.397		
00:00:00.373	1440786863712					200.925	134.38
00:00:00.374	1440786863713	179.7	129.968	158.412	124.931		
00:00:00.376	1440786863715						
00:00:00.377	1440786863716						
00:00:00.389	1440786863728					200.989	135.005
00:00:00.391	1440786863730	179.673	129.331	158.398	124.324		
00:00:00.406	1440786863745					200.947	134.339
00:00:00.408	1440786863747	179.657	129.996	158.348	124.977		
00:00:00.410	1440786863749						
00:00:00.423	1440786863762					200.966	135.015
00:00:00.424	1440786863763	179.615	129.36	158.382	124.371		
00:00:00.439	1440786863778					200.848	134.35
00:00:00.441	1440786863780	179.639	130.003	158.326	124.989		
00:00:00.443	1440786863782						
00:00:00.456	1440786863795					200.953	135.016
00:00:00.458	1440786863797	179.579	129.344	158.294	124.288		
00:00:00.473	1440786863812					200.863	134.4
00:00:00.474	1440786863813	179.644	130.05	158.325	125.056		
00:00:00.477	1440786863816						
00:00:00.489	1440786863828					200.963	135.044
00:00:00.491	1440786863830	179.535	129.386	158.311	124.366		
00:00:00.506	1440786863845					200.759	134.407
00:00:00.508	1440786863847	179.605	129.987	158.349	124.94		
00:00:00.510	1440786863849						
00:00:00.523	1440786863862					200.861	135.034
00:00:00.524	1440786863863	179.475	129.33	158.18	124.308		
00:00:00.539	1440786863878					200.77	134.352
00:00:00.541	1440786863880	179.515	129.965	158.233	124.91		
00:00:00.543	1440786863882						
00:00:00.556	1440786863895					200.797	135.02
00:00:00.558	1440786863897	179.51	129.402	158.303	124.367		
00:00:00.573	1440786863912					200.716	134.437
00:00:00.574	1440786863913	179.532	129.987	158.314	124.975		
00:00:00.577	1440786863916						
00:00:00.589	1440786863928					200.75	134.999
00:00:00.591	1440786863930	179.546	129.362	158.31	124.341		
00:00:00.606	1440786863945					200.782	134.383
00:00:00.608	1440786863947	179.611	130.029	158.372	125.022		
00:00:00.610	1440786863949						
00:00:00.623	1440786863962					200.85	135.036
00:00:00.624	1440786863963	179.63	129.326	158.412	124.321		
00:00:00.639	1440786863978					200.848	134.33
00:00:00.641	1440786863980	179.588	129.991	158.43	124.962		
00:00:00.643	1440786863982						
00:00:00.656	1440786863995					200.746	135.02
00:00:00.658	1440786863997	179.617	129.292	158.351	124.288		
00:00:00.673	1440786864012					200.883	134.296
00:00:00.674	1440786864013	179.574	130.016	158.389	124.958		
00:00:00.677	1440786864016						
00:00:00.689	1440786864028					200.76	135.074
00:00:00.691	1440786864030	179.678	129.349	158.472	124.385		
00:00:00.706	1440786864045					200.885	134.314
00:00:00.708	1440786864047	179.558	130.016	158.413	125.003		
00:00:00.710	1440786864049						
00:00:00.723	1440786864062					200.702	135.029
00:00:00.724	1440786864063	179.661	129.393	158.447	124.396		
00:00:00.739	1440786864078					200.875	134.389
00:00:00.741	1440786864080	179.623	129.978	158.411	124.934		
00:00:00.743	1440786864082						
00:00:00.756	1440786864095					200.835	135.022
