Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.879,77.6581,979.619,-309.401,133.81,1000.74,-274.718,72.2874,984.304,-270.523,128.079,1006.12,-238.121,376.483,1558.33,-339.309,337.568,1581.92,-229.114,496.433,1564.81,-323.874,545.167,1587.51
2,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.856,77.6575,979.627,-309.383,133.794,1000.74,-274.704,72.287,984.304,-270.529,128.067,1006.13,-238.113,376.494,1558.32,-339.369,337.654,1582.02,-229.114,496.443,1564.8,-323.879,545.157,1587.5
3,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.852,77.6372,979.619,-309.387,133.794,1000.74,-274.707,72.279,984.308,-270.512,128.065,1006.12,-238.118,376.503,1558.32,-339.282,337.605,1581.89,-229.115,496.451,1564.79,-323.893,545.161,1587.5
4,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.937,77.7324,979.604,-309.387,133.786,1000.74,-274.686,72.2719,984.311,-270.514,128.064,1006.13,-238.102,376.507,1558.33,-339.324,337.606,1582,-229.099,496.447,1564.79,-323.879,545.157,1587.5
5,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.838,77.5981,979.647,-309.384,133.784,1000.74,-274.68,72.2745,984.324,-270.498,128.059,1006.14,-238.1,376.507,1558.32,-339.332,337.652,1582.04,-229.112,496.456,1564.79,-323.892,545.154,1587.5
6,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.818,77.6206,979.652,-309.366,133.785,1000.74,-274.667,72.2809,984.332,-270.487,128.067,1006.13,-238.084,376.524,1558.33,-339.216,337.641,1581.93,-229.123,496.461,1564.78,-323.895,545.158,1587.49
7,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.894,77.7179,979.604,-309.363,133.761,1000.75,-274.66,72.2744,984.331,-270.482,128.048,1006.14,-238.086,376.517,1558.33,-339.321,337.644,1582.03,-229.119,496.462,1564.79,-323.887,545.149,1587.49
8,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.877,77.6984,979.619,-309.359,133.736,1000.76,-274.654,72.2671,984.345,-270.472,128.04,1006.15,-238.081,376.512,1558.33,-339.175,337.852,1581.95,-229.119,496.472,1564.8,-323.885,545.141,1587.5
9,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.79,77.6074,979.642,-309.341,133.722,1000.76,-274.639,72.257,984.357,-270.462,128.022,1006.16,-238.066,376.504,1558.33,-339.209,337.568,1581.93,-229.127,496.465,1564.78,-323.882,545.125,1587.49
10,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.778,77.5864,979.652,-309.334,133.717,1000.77,-274.618,72.2563,984.354,-270.451,128.021,1006.16,-238.071,376.487,1558.35,-339.294,337.476,1582.03,-229.119,496.465,1564.82,-323.881,545.113,1587.5
11,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.83,77.6513,979.616,-309.329,133.718,1000.76,-274.614,72.2537,984.354,-270.44,128.004,1006.17,-238.052,376.489,1558.36,-339.172,337.591,1581.92,-229.113,496.453,1564.82,-323.879,545.103,1587.51
12,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.767,77.5698,979.622,-309.321,133.666,1000.77,-274.597,72.2577,984.359,-270.435,127.983,1006.18,-238.04,376.473,1558.39,-339.206,337.535,1581.99,-229.122,496.443,1564.83,-323.875,545.083,1587.51
13,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.749,77.569,979.617,-309.316,133.666,1000.77,-274.595,72.2483,984.37,-270.432,127.988,1006.18,-238.033,376.459,1558.4,-339.345,337.468,1582.25,-229.118,496.452,1564.84,-323.888,545.07,1587.53
14,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.735,77.5517,979.626,-309.306,133.659,1000.77,-274.578,72.2336,984.36,-270.422,127.975,1006.17,-238.023,376.445,1558.41,-339.236,337.571,1582.06,-229.115,496.443,1564.85,-323.879,545.065,1587.54
15,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.733,77.5494,979.599,-309.31,133.646,1000.77,-274.578,72.2219,984.356,-270.418,127.969,1006.17,-238.014,376.426,1558.41,-339.165,337.495,1582,-229.11,496.419,1564.86,-323.871,545.036,1587.55
16,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.769,77.5736,979.603,-309.31,133.591,1000.78,-274.569,72.2201,984.35,-270.425,127.939,1006.18,-238.061,376.4,1558.45,-339.168,337.549,1582.03,-229.098,496.411,1564.87,-323.862,545.025,1587.55
17,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.71,77.5341,979.585,-309.304,133.618,1000.73,-274.561,72.2147,984.345,-270.416,127.94,1006.18,-238.013,376.398,1558.42,-339.121,337.541,1581.98,-229.087,496.386,1564.87,-323.837,544.999,1587.54
18,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.699,77.5156,979.602,-309.294,133.634,1000.73,-274.548,72.2,984.352,-270.4,127.937,1006.16,-237.999,376.361,1558.41,-339.159,337.455,1581.95,-229.085,496.357,1564.86,-323.815,544.981,1587.55
19,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.696,77.4951,979.601,-309.29,133.615,1000.71,-274.546,72.1962,984.341,-270.406,127.932,1006.14,-237.993,376.346,1558.39,-339.102,337.553,1581.86,-229.057,496.332,1564.87,-323.776,544.961,1587.54
20,0,,,,,,,,,,,,,,,,,,,,,,,,,-313.687,77.5005,979.585,-309.284,133.6,1000.71,-274.536,72.1976,984.336,-270.399,127.935,1006.14,-238.11,376.32,1558.46,-339.059,337.471,1581.92,-229.033,496.317,1564.84,-323.756,544.945,1587.55
